sku,inventory_units_on_hand,projected_average_monthly_demand,months_of_inventory_coverage,reorder_point,lead_time_days,on_hand_stock_value
69222.79091,890,3280.80,0.27,1963.03,16,5243.60
73806.41833,103,378.00,0.27,196.04,11,551.26
7536.769747,565,2081.20,0.27,2110.95,23,14888.62
76699.4284,10,36.40,0.27,13.54,6,108.12
7908.806989,439,1614.00,0.27,1128.34,16,7923.67
81537.96901,50,182.00,0.27,93.57,11,404.30
90388.28803,122,446.40,0.27,85.28,5,1063.51
94992.44171,6,22.00,0.27,10.41,6,33.17
11965.10355,50,176.40,0.28,104.49,11,436.64
14959.28489,3,10.80,0.28,6.32,16,94.85
18554.01969,6,21.60,0.28,18.17,23,46.69
18878.15735,90,325.00,0.28,364.57,23,1303.13
26570.05479,14614,51936.00,0.28,48028.58,26,110715.50
26976.03739,7807,27764.00,0.28,39876.62,37,107616.23
3316.979588,18,65.00,0.28,69.57,23,3226.95
35267.43038,8,28.80,0.28,11.35,5,78.84
35915.04203,1496,5253.00,0.28,4616.34,23,40706.03
42665.16393,11,39.60,0.28,34.28,15,1634.05
46105.6719,129,453.60,0.28,420.34,20,1543.72
49639.77433,7,25.00,0.28,17.64,8,1411.15
58600.29598,69,245.00,0.28,165.38,11,355.48
58772.38551,5,18.00,0.28,11.06,11,69.20
59649.09941,74857,265986.00,0.28,325446.10,35,544249.78
66171.33683,61,214.40,0.28,133.34,17,1397.61
67635.93921,9,32.40,0.28,15.54,8,50.18
73985.47922,524,1887.60,0.28,2212.03,31,3541.56
76211.07499,371,1337.60,0.28,1350.47,23,6010.28
76540.99113,231,831.60,0.28,624.61,16,6833.06
81043.20569,41,148.80,0.28,91.93,16,5451.47
86427.24351,5,18.00,0.28,19.76,30,29.74
88147.35741,3,10.80,0.28,6.32,16,67.37
91086.65585,48,171.00,0.28,123.44,16,2851.31
92397.65944,7,25.20,0.28,5.91,5,66.04
93388.69442,11,39.00,0.28,20.29,10,134.06
96146.75067,7,25.00,0.28,56.70,62,376.85
96256.89429,2307,8246.40,0.28,8849.46,30,29591.74
98206.36746,3,10.80,0.28,2.58,5,67.08
18382.47986,39924,138059.60,0.29,92927.07,16,299388.12
23113.94007,482,1680.00,0.29,1920.45,25,10344.05
30898.51141,4,14.00,0.29,8.11,11,419.58
34117.21829,18,61.20,0.29,67.17,30,90.72
35251.07142,13,45.00,0.29,16.46,8,161.37
4614.838536,9,30.60,0.29,11.69,8,95.59
51201.69218,52,180.40,0.29,199.84,23,1235.47
62503.38677,76,265.00,0.29,243.93,15,1722.39
64737.50782,126,438.00,0.29,592.87,37,1079.22
67214.50172,97,338.80,0.29,300.72,16,1362.46
72167.89241,981,3385.20,0.29,3255.67,26,19655.70
73387.0324,88,306.00,0.29,283.57,20,996.76
76253.80621,31,106.80,0.29,40.83,11,426.85
78261.5522,6,20.40,0.29,4.87,5,73.00
89943.6597,6,20.40,0.29,4.87,5,70.32
97523.24943,694,2420.00,0.29,2986.46,33,5661.37
9755.440137,2038,6916.80,0.29,3618.07,11,113320.11
99787.72463,287,981.20,0.29,1394.52,37,2651.19
10239.02632,55,180.40,0.30,169.37,20,486.55
1258.781429,218,716.40,0.30,498.50,16,1391.76
16821.95714,15,49.20,0.30,11.75,5,173.91
23278.46785,3169,10476.40,0.30,16722.78,42,35675.64
3430.48939,841,2794.00,0.30,2660.78,22,4302.97
35730.5836,121,405.00,0.30,442.96,23,2284.08
38956.79346,38,125.00,0.30,109.33,16,430.18
41888.4039,209,692.00,0.30,142.75,5,2255.74
42177.39672,824,2750.40,0.30,1748.52,17,19900.82
46978.24183,351,1180.80,0.30,1364.02,28,30222.19
54983.43548,18,59.20,0.30,17.97,6,187.81
55467.27121,15,49.20,0.30,11.95,5,175.57
70545.46037,86,286.00,0.30,222.25,16,1298.42
72448.97528,426,1419.00,0.30,1117.77,19,4642.34
84079.24587,40,135.00,0.30,106.23,16,1591.90
92564.37328,17,57.20,0.30,55.80,20,2428.35
94785.8318,112,374.00,0.30,281.59,15,587.59
13835.64099,86,277.20,0.31,205.50,16,497.10
21539.09202,804,2572.80,0.31,1813.31,17,24582.04
25214.94662,113,361.80,0.31,72.43,5,1004.18
2809.055866,26,84.80,0.31,86.86,28,1107.33
3513.799268,33,108.00,0.31,69.89,16,277.80
45713.31833,12,39.00,0.31,18.96,8,130.91
46566.80195,29,92.40,0.31,115.45,29,588.79
50165.03928,19,61.20,0.31,47.16,16,295.52
54977.50853,219,710.40,0.31,478.17,16,63691.01
5565.194267,39,127.60,0.31,102.48,16,242.23
60161.15634,867,2764.80,0.31,1786.63,12,7147.80
63390.61541,23,74.80,0.31,43.04,8,116.11
65229.23928,37,117.60,0.31,64.14,11,2531.93
69878.49921,38,123.00,0.31,58.19,8,263.42
7484.962409,208,679.20,0.31,407.32,13,12702.01
87190.2062,730,2331.00,0.31,2244.52,23,32884.62
89604.23049,13,41.60,0.31,20.76,8,104.28
93594.20805,1339,4348.40,0.31,6221.87,40,23537.85
93732.1487,967,3115.20,0.31,3874.59,30,15722.79
93757.32748,2515,8073.60,0.31,8270.11,28,35739.57
99578.02335,10,32.40,0.31,34.53,23,1536.22
15390.4921,270,854.40,0.32,722.02,22,3192.27
19029.92505,5,15.60,0.32,9.13,16,108.53
26362.66432,8,25.20,0.32,14.65,11,268.61
29759.84406,56,175.20,0.32,160.58,22,1063.90
33392.71067,8,25.00,0.32,22.35,16,98.19
3551.005172,1012,3204.00,0.32,2375.28,16,6585.50
36370.45265,119,374.00,0.32,293.07,16,1234.54
36945.24393,136,427.20,0.32,170.15,8,950.20
49840.64111,7,22.00,0.32,17.32,13,272.36
69917.70123,8,25.20,0.32,15.18,12,555.13
70828.31315,11,34.80,0.32,9.46,6,96.62
78912.73121,5,15.60,0.32,2.98,3,437.37
80557.19668,15,46.40,0.32,17.43,8,202.78
90821.50073,70,219.00,0.32,122.39,11,447.37
95729.65877,7,22.00,0.32,13.27,8,177.60
98629.22568,3853,11926.40,0.32,8764.10,16,30471.41
11634.3914,2,6.00,0.33,1.43,5,10.31
13316.33142,4,12.00,0.33,6.60,11,105.88
25223.15719,98,298.80,0.33,108.82,8,876.37
26011.98886,3,9.00,0.33,2.88,5,60.10
38771.24903,5,15.00,0.33,11.56,16,2975.38
39287.16927,595,1822.80,0.33,2212.81,33,6167.06
39743.43884,8545,25974.00,0.33,29947.58,31,66039.34
48407.04413,10,30.00,0.33,7.35,5,54.60
56625.98059,495,1488.00,0.33,1676.56,28,7893.83
6377.506286,4,12.00,0.33,21.51,49,1040.55
69939.65533,52,157.80,0.33,31.59,5,562.91
7328.011437,2,6.00,0.33,3.51,16,31.90
75128.79596,2286,6966.40,0.33,4055.05,16,12787.98
82289.6548,255,777.60,0.33,612.50,17,3536.25
83000.8256,22,66.60,0.33,26.53,8,535.79
87706.61221,1982,6086.40,0.33,2924.17,12,14235.73
98395.41806,1418,4240.80,0.33,5804.06,37,114227.80
13539.16641,105,306.00,0.34,291.79,23,9081.31
13825.92566,11,32.40,0.34,20.79,11,222.32
20232.45783,15,44.40,0.34,11.10,5,125.71
22099.88081,14,40.80,0.34,38.81,26,131.49
30570.48898,880,2592.00,0.34,4103.69,41,23774.03
3093.613486,422,1238.40,0.34,1102.33,20,2769.23
35470.91724,15,44.40,0.34,25.99,16,181.14
37199.40082,352,1032.00,0.34,758.36,16,3658.66
39413.5795,955,2846.80,0.34,3264.75,27,5794.33
4776.122885,61,180.40,0.34,199.22,26,1226.33
48256.78768,22,65.00,0.34,48.67,11,138.15
49101.2945,27,79.20,0.34,65.58,21,349.27
51079.91694,81,238.00,0.34,279.14,29,991.06
54473.7405,11,32.40,0.34,36.19,23,1121.69
55949.49666,29,85.00,0.34,132.25,33,1010.59
6029.396022,5150,15120.00,0.34,14347.12,23,42327.45
63421.99319,1381,4105.00,0.34,5455.90,30,17339.72
65708.3253,1028,2992.00,0.34,3867.23,30,18142.64
81582.05838,13,37.80,0.34,18.93,11,369.21
86600.20453,1368,4038.00,0.34,2967.32,16,17410.16
97640.65862,36,105.60,0.34,63.02,11,207.77
98453.01234,3203,9480.00,0.34,9871.29,21,23182.42
98972.77991,223,660.00,0.34,667.53,21,2772.58
14177.70251,69,194.40,0.35,138.43,16,6508.78
24480.71311,143,414.00,0.35,313.65,16,2280.99
39789.33265,293,825.60,0.35,694.14,21,2813.91
42528.76975,80,227.20,0.35,232.73,28,1189.46
55168.57614,51,145.00,0.35,140.52,19,900.09
59404.98731,22,63.00,0.35,85.28,37,191.81
65377.15408,846,2444.80,0.35,1554.24,17,16197.46
73576.4875,249,702.00,0.35,680.07,21,3514.28
96539.69681,426,1215.00,0.35,1175.60,23,5855.36
96698.57672,79,228.00,0.35,54.44,5,1397.29
1365.039104,2694,7538.40,0.36,11789.98,45,31962.01
38388.46865,66,185.00,0.36,169.62,16,359.92
38413.66891,1246,3436.40,0.36,10151.82,85,15445.83
4569.760124,1595,4438.40,0.36,4356.69,23,64463.69
53336.45984,179,501.60,0.36,560.33,23,4980.26
55020.73056,2334,6422.40,0.36,5764.03,23,25696.87
5869.593443,9,25.20,0.36,15.32,11,239.57
60018.75247,58,162.00,0.36,302.25,51,2522.48
63575.69139,3199,8835.00,0.36,15210.24,43,26026.61
66104.14713,11,30.60,0.36,23.51,21,129.44
783.9037727,8,22.00,0.36,20.67,16,248.70
82265.2851,33,91.20,0.36,26.96,5,210.78
84042.99035,205,568.40,0.36,504.57,21,1133.10
95126.42502,27,75.00,0.36,58.77,16,17309.02
95637.65634,2923,8078.40,0.36,8193.88,23,30433.06
13701.89066,1136,3051.40,0.37,1916.21,15,5908.66
1627.077928,4521,12164.40,0.37,19242.00,43,35511.61
20851.90804,43,114.80,0.37,86.23,16,437.35
28535.78795,5432,14871.60,0.37,21217.38,36,150567.98
40066.64533,10,27.00,0.37,20.10,16,63.60
51747.62584,71,193.20,0.37,135.69,16,785.59
55042.65347,72,193.20,0.37,135.69,16,797.79
56397.93765,301,803.60,0.37,624.48,16,1606.77
58114.46097,956,2572.80,0.37,1813.31,17,7036.66
60330.3787,91,244.80,0.37,107.05,8,1031.90
68070.96884,50,135.00,0.37,100.08,16,1380.29
72433.88595,4272,11659.20,0.37,15781.80,37,40204.02
77659.50168,67,182.40,0.37,118.31,12,429.12
78535.81499,4,10.80,0.37,6.32,16,42.94
81501.09753,146,390.00,0.37,457.17,28,13690.56
8357.205586,168,448.80,0.37,361.89,16,861.32
92382.50898,174,474.00,0.37,328.29,16,1009.01
96538.87718,132,354.00,0.37,222.35,11,2381.63
14429.98443,524,1372.80,0.38,1608.75,31,3541.56
16141.79206,3268,8558.00,0.38,15041.54,46,23457.73
19439.60814,952,2486.40,0.38,2366.28,21,56004.29
25890.6082,2231,5806.80,0.38,4663.46,16,13447.73
2838.435689,12,31.20,0.38,22.62,16,245.51
38342.23635,664,1736.40,0.38,584.38,8,3889.55
42965.73643,73,193.20,0.38,135.69,16,816.69
43704.71123,424,1120.80,0.38,669.95,17,4419.93
48754.45583,3,8.00,0.38,7.86,27,1178.04
50930.93379,72,189.60,0.38,55.48,6,556.66
6170.814283,78,204.00,0.38,128.13,11,1403.66
64530.52671,3,8.00,0.38,7.61,26,62.38
67332.30068,1096,2875.60,0.38,3645.08,33,99239.78
68144.5966,1076,2826.00,0.38,2544.81,21,10832.09
91128.90038,62,165.00,0.38,156.11,16,366.77
92696.22767,1254,3295.80,0.38,2757.76,23,13972.58
96799.14512,627,1654.40,0.38,2743.59,40,17641.00
98191.86268,6,15.60,0.38,3.55,4,33.07
34784.80383,7,18.00,0.39,43.46,66,375.28
56373.14592,33,85.00,0.39,142.36,41,1383.18
56443.5394,3546,9126.40,0.39,9348.87,30,26586.93
6348.947722,75,190.80,0.39,145.98,15,1139.62
66245.92726,344,883.20,0.39,683.48,17,13286.32
69483.66359,64,162.80,0.39,142.39,16,1412.60
17357.58358,336,841.60,0.40,1021.78,29,5440.84
18011.47757,4537,11312.40,0.40,20130.45,44,57288.34
3526.790467,290,730.80,0.40,971.46,31,18585.29
39377.98911,37,92.40,0.40,114.73,26,504.87
58091.45501,24,59.40,0.40,24.62,8,147.50
58137.15511,948,2343.00,0.40,2609.88,27,21980.24
67144.68233,10,25.00,0.40,36.70,31,194.03
71185.22702,2213,5570.40,0.40,8818.83,38,46570.63
74486.50399,244,607.20,0.40,1016.96,41,2512.91
7833.644401,392,990.00,0.40,1172.63,31,2687.23
79482.93109,3916,9847.60,0.40,11354.12,31,21842.35
1194.662959,333,802.80,0.41,1012.51,29,4540.21
14082.8658,24,58.80,0.41,17.57,6,141.68
20968.31645,705,1740.00,0.41,2279.97,26,11443.45
27719.21863,31,74.80,0.41,111.08,29,1264.75
48763.90015,21,51.00,0.41,41.12,16,314.64
54531.10639,58,142.40,0.41,95.93,15,1765.84
76115.21441,9,22.00,0.41,24.79,21,166.56
82315.40602,1903,4588.80,0.41,4952.35,30,17484.47
8392.581071,38,92.40,0.41,85.02,16,224.51
84656.47876,116,286.00,0.41,354.23,23,1003.61
9309.664142,716,1729.20,0.41,3030.75,44,5777.78
1390.773049,16,37.80,0.42,25.32,16,147.32
14290.54489,16293,38400.00,0.42,59193.49,37,97913.40
21179.05749,275,650.00,0.42,946.16,29,8676.26
30629.55147,6314,15011.20,0.42,12172.80,21,97438.91
34319.52555,25872,62205.00,0.42,150194.98,66,191911.53
34756.29703,9,21.60,0.42,8.51,5,64.35
39272.0371,140,331.20,0.42,229.39,16,1619.12
39833.66569,313,750.00,0.42,1141.75,33,3127.23
4632.399445,9462,22386.00,0.42,21241.71,23,53445.63
46840.29979,5,12.00,0.42,5.89,8,152.03
49927.08482,63,148.80,0.42,104.51,16,1074.88
49986.20614,80,190.80,0.42,175.26,20,820.63
52738.31427,54,127.60,0.42,183.28,31,10422.70
56308.83258,13983,33409.60,0.42,32326.21,23,101589.20
61146.71844,5,12.00,0.42,5.74,8,36.21
67013.58459,5,12.00,0.42,5.05,6,30.16
69248.1887,2398,5728.80,0.42,8720.16,35,47340.24
75376.46112,1001,2372.40,0.42,2359.00,21,6421.26
80283.87575,1978,4658.40,0.42,4811.02,22,18475.15
86459.93995,70,165.60,0.42,116.31,16,820.96
8766.781667,70,165.60,0.42,116.31,16,784.24
93898.13441,4993,11972.40,0.42,13709.80,23,37261.02
99367.07905,9,21.60,0.42,12.20,10,206.54
10654.13136,20,46.80,0.43,40.93,16,200.65
17700.07071,198,456.00,0.43,346.11,15,1255.78
17735.99899,48,111.00,0.43,124.51,23,1585.58
22927.3999,240,554.40,0.43,663.35,23,4120.41
23915.89994,71,165.60,0.43,116.31,16,792.92
27049.09815,150,352.80,0.43,298.24,16,1411.33
37557.19109,370,862.40,0.43,878.76,23,7605.95
41409.2889,10091,23339.20,0.43,18229.15,21,75196.85
48946.68639,17,39.60,0.43,14.55,8,1321.58
55973.83445,17,39.60,0.43,44.44,21,168.12
56096.26675,170,391.60,0.43,564.95,31,4290.73
56345.05754,180,420.00,0.43,340.03,16,4969.31
57292.27939,14867,34473.60,0.43,60729.61,44,387081.09
57414.41086,110,254.40,0.43,178.68,16,1115.26
63798.28568,5759,13337.60,0.43,17711.31,33,75606.22
68540.27611,17,39.60,0.43,27.53,19,166.72
80434.7921,103,238.80,0.43,65.75,5,562.03
81261.10865,86,198.00,0.43,204.48,21,725.60
82555.758,62,145.20,0.43,198.50,31,429.81
82599.30915,63,145.00,0.43,197.19,28,398.60
84276.1629,249,583.20,0.43,643.31,23,18067.51
89693.70052,37,87.00,0.43,89.87,23,7340.59
98580.99493,7,16.20,0.43,6.10,6,72.84
13599.73411,90,205.00,0.44,293.94,28,2387.05
20515.10297,11,25.20,0.44,19.26,16,61.12
32381.69299,43,98.40,0.44,73.91,16,457.12
36031.03594,495,1122.00,0.44,1897.56,38,19967.49
40124.79589,12,27.20,0.44,9.88,6,108.66
40165.04498,4,9.00,0.44,5.38,12,64.68
40406.70397,296,669.60,0.44,416.09,11,11817.38
42242.48607,48,110.00,0.44,162.16,31,3355.17
4336.412388,6,13.60,0.44,3.25,5,74.93
48169.95335,91,205.20,0.44,284.19,29,1316.10
49937.31222,1630,3717.60,0.44,3492.83,23,12530.52
52376.6073,641,1443.20,0.44,1932.13,27,29380.12
57256.54102,51,116.80,0.44,46.52,8,910.64
61431.51228,76673,173239.20,0.44,239063.86,35,490624.03
7011.978794,122,279.00,0.44,296.87,22,1032.55
70304.02287,65,147.60,0.44,153.85,23,808.46
77443.78208,1360,3072.00,0.44,2656.61,23,14037.47
79164.04235,51,114.80,0.44,95.55,16,17301.24
88394.37669,128,291.60,0.44,325.74,23,17545.67
93158.66933,11,25.00,0.44,38.11,31,151.54
93505.32572,60,135.00,0.44,106.23,16,1117.30
9715.729205,4,9.00,0.44,4.63,11,74.40
12445.2829,92,204.00,0.45,192.36,20,1062.87
14965.64597,325,730.00,0.45,931.44,23,7765.53
280.7880631,1107,2451.00,0.45,3234.87,34,12543.43
30107.5998,29,65.00,0.45,87.57,26,243.68
32623.09674,47,104.40,0.45,188.58,44,8835.13
33690.34864,182,408.00,0.45,462.02,28,3236.48
34612.87214,53,118.80,0.45,154.13,28,3033.37
50164.97265,26,57.20,0.45,77.07,26,6979.84
59627.68804,22,49.20,0.45,23.87,11,2330.70
63570.17856,731,1619.20,0.45,2432.39,33,8074.51
70191.94028,655,1443.20,0.45,2127.49,31,39154.35
71032.68656,177,396.00,0.45,516.01,28,18976.11
81436.64405,128,282.00,0.45,106.25,9,862.81
92572.36416,158,352.80,0.45,477.55,37,1345.33
97364.80366,879,1936.80,0.45,2136.42,23,8934.49
1082.228679,28,61.20,0.46,70.37,23,4776.18
21691.1655,41024,88816.80,0.46,84691.77,23,310793.66
34704.75954,200,436.80,0.46,528.38,31,1362.79
36309.32121,1561,3379.20,0.46,5876.63,43,13649.47
38534.162,787,1710.00,0.46,1620.10,21,5541.11
46383.9519,206,445.00,0.46,717.66,32,29677.82
50536.67543,389,849.00,0.46,880.97,23,4376.54
54527.61791,41,88.20,0.46,47.52,11,308.38
57758.83566,47,102.60,0.46,84.95,21,598.45
58204.41592,171,369.60,0.46,259.59,16,1142.18
63748.76854,8,17.40,0.46,3.91,5,273.50
70466.39833,803,1749.60,0.46,2469.02,32,68393.33
71502.14742,123,265.00,0.46,336.98,21,7473.51
73327.4254,3343,7295.20,0.46,10763.36,33,43192.00
79937.84794,424,930.00,0.46,2211.39,60,7879.77
93718.02454,1747,3769.20,0.46,3136.90,21,15531.62
17406.29569,14511,31045.00,0.47,77872.25,66,107509.62
18043.66253,18811,39715.20,0.47,54056.70,37,140529.15
29029.65481,42,90.00,0.47,82.52,16,564.37
31324.97779,102,219.00,0.47,231.78,21,1027.73
32263.1607,25,52.80,0.47,34.17,13,1017.00
53420.79036,76,162.00,0.47,140.11,16,1428.75
5368.448754,7,15.00,0.47,11.80,16,34.37
5404.511258,285,609.00,0.47,782.70,31,17564.54
9503.436666,27,57.20,0.47,68.44,23,162.80
96233.84203,717,1530.00,0.47,1756.75,25,6841.04
97338.85973,17,36.40,0.47,23.43,11,85.78
13693.42423,720,1513.60,0.48,1756.87,21,6088.88
20398.71322,131,273.60,0.48,319.77,27,1425.99
29443.44791,285,589.60,0.48,754.83,25,2791.85
31835.0261,112,234.00,0.48,197.81,16,844.20
37474.06144,57,117.60,0.48,87.18,16,306.30
46611.83305,1729,3609.60,0.48,1880.06,11,14068.15
65502.95564,12,25.00,0.48,36.73,30,1104.98
77635.18409,2829,5947.20,0.48,6744.56,30,25577.93
82534.17776,24,50.40,0.48,46.89,21,287.94
92167.07479,538,1116.00,0.48,1199.74,23,10258.85
93398.35281,19,39.60,0.48,23.18,16,123.37
24878.72365,155,319.20,0.49,273.99,16,10144.65
24970.73488,10,20.40,0.49,7.79,8,59.15
26356.05607,193,396.00,0.49,525.02,28,5190.89
28729.89906,54,110.00,0.49,169.08,31,3891.50
36559.455,22,45.00,0.49,66.06,28,206.24
39698.91211,16,32.40,0.49,39.07,23,2336.81
63597.9838,28,57.20,0.49,58.58,16,204.31
7176.598732,364,741.00,0.49,733.65,21,2645.69
71879.19972,23,46.80,0.49,55.12,23,3059.94
73377.32315,10,20.40,0.49,7.79,8,78.79
85865.43543,97,198.00,0.49,254.49,23,8682.89
23548.24418,2141,4256.00,0.50,5255.28,28,36627.48
27348.24635,8,16.00,0.50,20.10,27,4196.44
29387.11002,1742,3489.20,0.50,5519.32,43,15905.04
29598.79286,170,341.60,0.50,314.31,16,1684.93
34364.44188,4,8.00,0.50,3.62,8,37.26
34901.62629,72,145.20,0.50,191.19,20,1387.02
35069.67071,8,16.00,0.50,10.48,8,129.57
36000.41446,24,47.60,0.50,45.81,16,1564.83
37091.96654,11,22.00,0.50,27.87,23,102.02
48413.09986,4,8.00,0.50,3.47,8,54.52
52341.01919,228,453.60,0.50,651.53,31,1699.67
56366.72822,3,6.00,0.50,6.59,30,296.97
58828.96152,971,1929.60,0.50,1359.99,17,6648.90
66097.56463,2,4.00,0.50,0.96,5,21.60
72476.04079,2384,4783.20,0.50,8947.72,52,31282.81
81765.22543,1180,2379.60,0.50,1609.43,16,8262.20
83385.07533,7092,14170.00,0.50,26487.33,42,74072.66
90973.58038,181,365.00,0.50,460.41,16,1375.98
92841.77308,308,621.00,0.50,673.40,23,5521.90
28952.46873,185,364.80,0.51,153.60,8,1166.06
29891.19471,129,250.80,0.51,279.34,21,1223.50
43989.70312,20537,40645.00,0.51,94732.55,61,228825.15
47789.22905,8,15.60,0.51,5.27,6,73.97
54077.96146,94,184.80,0.51,137.00,16,873.98
54211.1528,693,1353.60,0.51,2024.33,33,17667.12
63320.62117,649,1275.00,0.51,2587.96,44,19419.42
766.3896251,430,851.20,0.51,999.51,27,4825.21
50064.12161,129,248.40,0.52,288.73,22,2960.35
54367.23601,17,32.40,0.52,31.21,15,384.93
58765.31507,233,448.80,0.52,642.95,25,1291.22
63816.3017,734,1424.00,0.52,1679.93,27,4455.73
67748.83664,13,25.00,0.52,39.32,30,157.05
70313.2463,32245,61902.00,0.52,102408.71,44,230548.22
72649.08856,346,669.60,0.52,691.69,23,8457.71
13232.79607,86,162.80,0.53,256.39,31,3911.81
14804.73021,26631,50403.60,0.53,121024.53,66,206020.76
34575.36534,256,484.00,0.53,525.56,16,2580.97
38229.3787,6131,11512.80,0.53,20764.50,51,47663.80
39231.86401,63,118.40,0.53,166.34,31,4332.85
42720.38638,245,459.20,0.53,190.38,10,6620.52
43049.36974,775,1476.00,0.53,1160.77,15,12418.64
50753.1553,771,1460.80,0.53,1870.72,23,8967.40
55473.70414,387,723.60,0.53,354.25,11,3356.71
58786.99747,40,74.80,0.53,108.08,30,1164.94
85710.85199,86,162.80,0.53,206.20,23,558.35
96657.5001,4817,9012.00,0.53,7035.52,23,29513.22
20167.09523,31,57.20,0.54,75.66,23,549.92
24687.64874,223,409.20,0.54,543.15,23,6644.58
28221.53884,179,331.20,0.54,321.33,22,2218.95
30641.93847,32,58.80,0.54,23.04,8,171.18
31126.68106,42,78.40,0.54,55.06,16,535.59
36903.02252,191,352.80,0.54,389.16,23,4013.25
57475.61525,31,57.20,0.54,83.94,29,330.19
70111.06583,67,123.20,0.54,53.08,8,752.71
82197.08445,1018,1870.00,0.54,2588.58,26,9914.22
82550.86699,16281,30128.00,0.54,31966.32,23,123750.20
82785.40808,221,409.20,0.54,452.32,16,2531.27
88657.84393,3485,6512.00,0.54,9647.15,30,25451.37
17846.65633,156,286.00,0.55,321.72,16,3887.97
21062.89384,563,1016.40,0.55,1549.53,31,4071.67
32745.01858,544,984.00,0.55,1418.82,33,10171.32
415.6140404,28,51.00,0.55,63.86,26,2896.30
43081.60824,133,243.60,0.55,91.48,8,976.07
5065.188283,47,85.00,0.55,114.98,21,473.68
51528.00533,858,1552.80,0.55,1714.25,28,5467.02
52573.89521,661,1209.60,0.55,1171.94,16,3991.44
66529.1874,1697,3070.80,0.55,4918.28,37,14666.00
75569.60735,365,669.00,0.55,834.21,26,30549.66
77672.9379,86,156.00,0.55,166.01,28,1701.69
86564.39253,5323,9598.40,0.55,10273.76,23,39727.91
88372.4601,1108,2008.80,0.55,2288.81,21,12859.21
90403.3881,4122,7559.20,0.55,11912.98,33,29609.53
90793.93472,1706,3105.60,0.55,4124.00,33,53500.03
91096.30959,180,324.80,0.55,238.68,16,15171.38
94862.77623,8387,15178.80,0.55,16175.88,23,59745.28
12391.62135,16,28.80,0.56,31.22,21,212.74
12419.57396,93,165.60,0.56,150.54,21,755.27
12691.7175,151,268.40,0.56,301.04,15,6217.16
16763.75203,4,7.20,0.56,4.21,16,52.90
2813.969934,11,19.80,0.56,3.52,3,236.06
30303.93974,174,312.00,0.56,325.21,23,2542.73
30446.83697,2663,4783.20,0.56,7743.22,45,16734.66
35029.33365,89,159.00,0.56,136.48,16,1351.52
36230.00449,87,156.00,0.56,121.23,16,441.34
41576.82015,15,27.00,0.56,18.78,8,3110.35
41967.30897,10,18.00,0.56,43.46,66,920.39
4480.640121,249,445.00,0.56,769.91,33,5294.00
54644.76441,22,39.00,0.56,42.89,22,264.65
57896.9913,159,283.20,0.56,172.18,11,911.68
62206.36319,123,219.00,0.56,281.18,27,5108.77
62925.39261,3,5.40,0.56,1.29,5,28.00
65187.64152,42,74.80,0.56,108.08,30,1019.39
68677.35508,22,39.60,0.56,86.91,45,1596.90
78653.37195,2193,3916.80,0.56,4649.90,23,15047.64
87489.68716,12156,21652.80,0.56,33494.47,43,102665.93
89321.96051,42,74.80,0.56,114.49,28,8404.75
10741.3015,1350,2368.00,0.57,2678.40,22,13948.91
13235.04131,304,536.80,0.57,1060.79,44,4054.18
19193.13063,2114,3711.00,0.57,4214.85,23,28943.02
32535.36267,4087,7174.80,0.57,18583.73,72,28362.67
37118.06545,1279,2241.60,0.57,4888.39,58,164863.15
41862.31552,92,160.80,0.57,137.25,21,1329.34
48177.98048,223,388.80,0.57,405.26,23,3258.31
60355.84501,1337,2345.00,0.57,5959.55,61,17198.04
61240.23018,40,69.60,0.57,57.95,17,942.22
66159.28149,64,111.60,0.57,72.22,16,547.86
72252.52323,42,73.80,0.57,55.43,16,582.31
80969.10545,536,934.40,0.57,1907.94,51,45584.21
89168.13456,163,286.00,0.57,459.43,31,3094.41
9530.401133,8,14.00,0.57,10.48,11,372.75
96062.58778,92,162.00,0.57,184.34,16,1149.05
11944.61174,137,238.00,0.58,266.98,23,2986.36
13566.6382,48,82.80,0.58,34.32,8,425.13
19661.95471,810,1390.40,0.58,2085.50,41,18236.39
36628.5949,141,244.80,0.58,313.45,35,1151.99
47546.81561,44,75.60,0.58,77.42,16,370.78
51310.78553,46,79.20,0.58,75.37,21,861.47
68042.0436,137,238.00,0.58,284.77,23,1574.46
70588.49851,1022,1761.60,0.58,1317.54,20,8414.68
86637.3065,9,15.60,0.58,9.75,15,735.60
86716.7742,80,137.20,0.58,166.73,23,1041.73
11299.55072,239,405.00,0.59,601.91,23,7954.19
12591.10447,16,27.00,0.59,57.29,58,117.74
14103.03964,34,57.20,0.59,111.73,36,1293.30
22511.99721,23621,40160.00,0.59,31634.84,19,167861.13
36412.69172,16,27.00,0.59,25.93,17,119.45
36471.18527,41,69.60,0.59,70.95,22,403.38
49940.1708,2069,3510.00,0.59,5555.14,33,74957.12
52169.04283,127,213.60,0.59,174.48,12,1532.72
53822.56425,13,22.00,0.59,24.75,16,90.01
53890.45119,39,66.60,0.59,55.43,16,1039.35
59196.26073,18,30.60,0.59,19.48,12,264.13
73291.86838,1114,1890.00,0.59,6712.00,101,35298.86
76231.03342,23,39.00,0.59,30.95,11,452.38
81592.47126,161,274.20,0.59,84.65,7,1453.42
95967.6622,191,325.20,0.59,265.10,21,1347.14
18008.97887,71,117.60,0.60,94.44,16,994.24
18728.79269,2238,3718.00,0.60,9126.38,61,29845.88
