sku,on_hand_stock_value,percentage_of_total_value,cumulative_percentage_of_value
81043.20569,5451.47,0.0118,96.51
17357.58358,5440.84,0.0118,96.53
65657.65403,5435.56,0.0118,96.54
48507.3207,5430.26,0.0118,96.55
89822.0946,5406.36,0.0118,96.56
4480.640121,5294.00,0.0115,96.57
72882.49255,5293.47,0.0115,96.58
69222.79091,5243.60,0.0114,96.59
89243.77892,5226.63,0.0114,96.61
5955.445524,5217.52,0.0113,96.62
87697.91586,5203.16,0.0113,96.63
26356.05607,5190.89,0.0113,96.64
34316.69162,5188.79,0.0113,96.65
74311.1835,5183.50,0.0113,96.66
27821.00845,5143.80,0.0112,96.67
82709.24091,5134.86,0.0112,96.69
62206.36319,5108.77,0.0111,96.70
94539.85507,5067.05,0.0110,96.71
21469.85934,5056.08,0.0110,96.72
61732.08199,5017.30,0.0109,96.73
38645.52128,5013.99,0.0109,96.74
12629.01671,5006.38,0.0109,96.75
53336.45984,4980.26,0.0108,96.76
56345.05754,4969.31,0.0108,96.77
20175.18474,4944.69,0.0107,96.78
59794.46789,4901.58,0.0107,96.79
68435.63096,4829.92,0.0105,96.80
766.3896251,4825.21,0.0105,96.81
29811.36582,4792.97,0.0104,96.83
1082.228679,4776.18,0.0104,96.84
68005.84706,4771.89,0.0104,96.85
24760.86271,4750.32,0.0103,96.86
94232.44256,4742.53,0.0103,96.87
45397.09928,4703.85,0.0102,96.88
72325.83695,4701.30,0.0102,96.89
40938.78716,4698.91,0.0102,96.90
67475.8241,4657.46,0.0101,96.91
72448.97528,4642.34,0.0101,96.92
69313.07822,4627.27,0.0101,96.93
78565.34973,4568.90,0.0099,96.94
72156.25745,4562.33,0.0099,96.95
1194.662959,4540.21,0.0099,96.96
57066.9144,4533.63,0.0099,96.97
139.8523217,4523.66,0.0098,96.98
49717.44659,4519.37,0.0098,96.99
18455.61381,4507.32,0.0098,97.00
66981.88731,4500.00,0.0098,97.01
63816.3017,4455.73,0.0097,97.02
35565.33108,4450.71,0.0097,97.03
86385.28281,4422.40,0.0096,97.04
1826.379771,4420.96,0.0096,97.05
43704.71123,4419.93,0.0096,97.05
67961.41145,4417.45,0.0096,97.06
56037.89845,4398.62,0.0096,97.07
62008.62797,4387.83,0.0095,97.08
12797.36362,4386.47,0.0095,97.09
31119.19079,4385.89,0.0095,97.10
93125.36957,4377.29,0.0095,97.11
50536.67543,4376.54,0.0095,97.12
66926.05819,4375.97,0.0095,97.13
43542.32896,4362.53,0.0095,97.14
50355.96012,4347.03,0.0094,97.15
65490.25957,4336.77,0.0094,97.16
39231.86401,4332.85,0.0094,97.17
88579.59732,4332.75,0.0094,97.18
34964.02796,4326.79,0.0094,97.19
3430.48939,4302.97,0.0094,97.20
56096.26675,4290.73,0.0093,97.21
73887.80966,4264.21,0.0093,97.22
44496.49661,4254.37,0.0092,97.22
848.0809453,4235.90,0.0092,97.23
72201.46064,4209.98,0.0092,97.24
18049.7595,4200.00,0.0091,97.25
97164.69178,4198.31,0.0091,97.26
27348.24635,4196.44,0.0091,97.27
34340.89343,4191.40,0.0091,97.28
17244.61854,4167.02,0.0091,97.29
8954.076984,4156.90,0.0090,97.30
22927.3999,4120.41,0.0090,97.31
57760.55902,4085.72,0.0089,97.32
21062.89384,4071.67,0.0088,97.32
3987.356487,4063.75,0.0088,97.33
13235.04131,4054.18,0.0088,97.34
12512.44766,4044.95,0.0088,97.35
18379.25448,4026.80,0.0088,97.36
90981.63034,4015.47,0.0087,97.37
36903.02252,4013.25,0.0087,97.38
52573.89521,3991.44,0.0087,97.39
2394.595154,3982.29,0.0087,97.39
48736.01396,3971.58,0.0086,97.40
82248.32662,3945.17,0.0086,97.41
40235.04519,3935.79,0.0086,97.42
45174.96376,3933.36,0.0085,97.43
64875.99647,3929.32,0.0085,97.44
15253.35954,3928.20,0.0085,97.45
13232.79607,3911.81,0.0085,97.45
94452.9786,3909.57,0.0085,97.46
11233.80771,3903.82,0.0085,97.47
80260.11575,3900.00,0.0085,97.48
90062.38329,3900.00,0.0085,97.49
28729.89906,3891.50,0.0085,97.50
21094.16479,3889.73,0.0085,97.51
38342.23635,3889.55,0.0085,97.51
17846.65633,3887.97,0.0085,97.52
59245.0841,3876.49,0.0084,97.53
45576.33015,3870.00,0.0084,97.54
70246.00321,3855.95,0.0084,97.55
58028.02417,3817.10,0.0083,97.56
48429.39229,3800.00,0.0083,97.56
26525.0436,3774.43,0.0082,97.57
2669.177997,3774.38,0.0082,97.58
58083.65422,3767.55,0.0082,97.59
28562.10694,3766.72,0.0082,97.60
76066.21819,3754.39,0.0082,97.60
54440.0798,3740.02,0.0081,97.61
91788.78777,3738.07,0.0081,97.62
47193.59978,3713.86,0.0081,97.63
80846.9168,3707.67,0.0081,97.64
27891.95579,3700.00,0.0080,97.65
2893.488088,3682.53,0.0080,97.65
269.7596913,3675.57,0.0080,97.66
43809.86457,3673.24,0.0080,97.67
37199.40082,3658.66,0.0080,97.68
34397.90417,3649.80,0.0079,97.69
64810.32298,3644.89,0.0079,97.69
74104.54331,3612.30,0.0079,97.70
97924.44464,3574.64,0.0078,97.71
28.25267997,3574.45,0.0078,97.72
89811.80717,3557.81,0.0077,97.72
14429.98443,3541.56,0.0077,97.73
73985.47922,3541.56,0.0077,97.74
31580.12914,3540.96,0.0077,97.75
59279.79637,3540.38,0.0077,97.75
82289.6548,3536.25,0.0077,97.76
73576.4875,3514.28,0.0076,97.77
7168.284088,3487.39,0.0076,97.78
30739.83347,3484.25,0.0076,97.79
84351.60936,3475.66,0.0076,97.79
16258.20829,3465.65,0.0075,97.80
87446.87055,3449.93,0.0075,97.81
5762.614267,3444.26,0.0075,97.82
28528.7191,3435.30,0.0075,97.82
78437.89751,3409.98,0.0074,97.83
84559.80606,3408.61,0.0074,97.84
43344.10831,3394.18,0.0074,97.85
990.6670531,3385.68,0.0074,97.85
30213.94562,3385.44,0.0074,97.86
69270.3075,3379.13,0.0073,97.87
64862.27061,3373.53,0.0073,97.87
95346.79829,3360.48,0.0073,97.88
13827.44534,3359.45,0.0073,97.89
55473.70414,3356.71,0.0073,97.90
42242.48607,3355.17,0.0073,97.90
14606.23724,3354.98,0.0073,97.91
78037.70635,3354.34,0.0073,97.92
38093.32095,3296.12,0.0072,97.93
23411.41891,3291.46,0.0072,97.93
65537.65773,3281.04,0.0071,97.94
90641.8808,3277.00,0.0071,97.95
40359.66273,3260.36,0.0071,97.95
48177.98048,3258.31,0.0071,97.96
41997.10601,3253.61,0.0071,97.97
65577.39399,3237.35,0.0070,97.98
33690.34864,3236.48,0.0070,97.98
68319.07542,3234.21,0.0070,97.99
3316.979588,3226.95,0.0070,98.00
22009.69213,3221.96,0.0070,98.00
15390.4921,3192.27,0.0069,98.01
8120.820974,3189.03,0.0069,98.02
79960.39306,3179.27,0.0069,98.02
19942.00864,3152.77,0.0069,98.03
70551.67392,3134.09,0.0068,98.04
39833.66569,3127.23,0.0068,98.04
41576.82015,3110.35,0.0068,98.05
93229.43546,3097.86,0.0067,98.06
89168.13456,3094.41,0.0067,98.06
8303.918527,3079.77,0.0067,98.07
28199.61617,3074.71,0.0067,98.08
71879.19972,3059.94,0.0067,98.08
34612.87214,3033.37,0.0066,98.09
26561.54961,3029.87,0.0066,98.10
63410.09885,3027.67,0.0066,98.10
56666.55127,3013.06,0.0065,98.11
12212.94799,3000.69,0.0065,98.12
83827.89094,2993.95,0.0065,98.12
11944.61174,2986.36,0.0065,98.13
38771.24903,2975.38,0.0065,98.14
56141.93351,2972.03,0.0065,98.14
50064.12161,2960.35,0.0064,98.15
17856.66378,2937.47,0.0064,98.16
92202.7404,2918.18,0.0063,98.16
415.6140404,2896.30,0.0063,98.17
68029.7579,2859.03,0.0062,98.18
38791.91313,2856.41,0.0062,98.18
91086.65585,2851.31,0.0062,98.19
1199.561603,2827.14,0.0061,98.19
31773.45426,2817.95,0.0061,98.20
39789.33265,2813.91,0.0061,98.21
98053.03428,2812.09,0.0061,98.21
93366.37569,2800.85,0.0061,98.22
29443.44791,2791.85,0.0061,98.22
21705.9442,2788.60,0.0061,98.23
16511.1707,2788.10,0.0061,98.24
98972.77991,2772.58,0.0060,98.24
3093.613486,2769.23,0.0060,98.25
79775.55118,2762.23,0.0060,98.25
82506.3155,2757.65,0.0060,98.26
26443.5343,2748.76,0.0060,98.27
52881.43645,2747.89,0.0060,98.27
56656.19487,2744.28,0.0060,98.28
11288.29837,2742.02,0.0060,98.28
19688.64901,2731.89,0.0059,98.29
44766.43608,2731.82,0.0059,98.30
82813.67224,2725.52,0.0059,98.30
93725.9732,2698.00,0.0059,98.31
12783.54968,2694.26,0.0059,98.31
7833.644401,2687.23,0.0058,98.32
76274.03088,2678.78,0.0058,98.33
75443.06423,2651.20,0.0058,98.33
99787.72463,2651.19,0.0058,98.34
7176.598732,2645.69,0.0058,98.34
43035.68842,2621.01,0.0057,98.35
76674.36635,2593.04,0.0056,98.35
34575.36534,2580.97,0.0056,98.36
53493.12248,2565.14,0.0056,98.37
34390.00277,2554.54,0.0056,98.37
81186.83623,2546.95,0.0055,98.38
30303.93974,2542.73,0.0055,98.38
50727.27312,2541.26,0.0055,98.39
82525.33971,2539.60,0.0055,98.39
49928.21246,2538.65,0.0055,98.40
3478.938552,2538.17,0.0055,98.40
13305.90624,2536.37,0.0055,98.41
65229.23928,2531.93,0.0055,98.41
82785.40808,2531.27,0.0055,98.42
73771.9607,2524.27,0.0055,98.43
60018.75247,2522.48,0.0055,98.43
74486.50399,2512.91,0.0055,98.44
73436.20737,2507.60,0.0055,98.44
4972.487359,2499.25,0.0054,98.45
65391.11999,2486.00,0.0054,98.45
38489.70519,2485.02,0.0054,98.46
34162.58915,2468.01,0.0054,98.46
12342.41834,2458.46,0.0053,98.47
84472.29913,2452.08,0.0053,98.47
54570.82291,2450.00,0.0053,98.48
5409.530584,2440.10,0.0053,98.49
91970.25303,2439.83,0.0053,98.49
92564.37328,2428.35,0.0053,98.50
30529.13663,2423.20,0.0053,98.50
89414.43548,2416.65,0.0053,98.51
42916.78441,2404.00,0.0052,98.51
13599.73411,2387.05,0.0052,98.52
96538.87718,2381.63,0.0052,98.52
93034.15064,2381.53,0.0052,98.53
60386.38837,2380.10,0.0052,98.53
17051.99015,2374.17,0.0052,98.54
32462.07942,2365.59,0.0051,98.54
57978.83457,2346.56,0.0051,98.55
30237.84445,2345.25,0.0051,98.55
17596.66454,2337.17,0.0051,98.56
39698.91211,2336.81,0.0051,98.56
19252.2782,2332.60,0.0051,98.57
59627.68804,2330.70,0.0051,98.57
40954.52543,2330.39,0.0051,98.58
41048.75817,2289.03,0.0050,98.58
66633.48938,2288.61,0.0050,98.59
35730.5836,2284.08,0.0050,98.59
24480.71311,2280.99,0.0050,98.60
61513.44926,2256.84,0.0049,98.60
41888.4039,2255.74,0.0049,98.61
9526.482248,2252.41,0.0049,98.61
40785.58375,2246.65,0.0049,98.62
91923.4293,2241.75,0.0049,98.62
78672.28731,2241.41,0.0049,98.63
16165.94128,2240.64,0.0049,98.63
71657.17638,2227.19,0.0048,98.64
13256.11931,2221.16,0.0048,98.64
63104.85832,2221.10,0.0048,98.65
28221.53884,2218.95,0.0048,98.65
26376.72145,1793.44,0.0039,98.66
93423.30877,1792.35,0.0039,98.66
19580.97749,1791.98,0.0039,98.66
84121.20154,1791.54,0.0039,98.67
12159.11518,1770.66,0.0038,98.67
89669.53586,1768.65,0.0038,98.67
54531.10639,1765.84,0.0038,98.68
35393.00406,1758.93,0.0038,98.68
28071.43638,1758.49,0.0038,98.69
54050.97542,1756.18,0.0038,98.69
25584.02824,1753.96,0.0038,98.69
79282.39564,1742.94,0.0038,98.70
56870.09973,1741.60,0.0038,98.70
34243.07841,1739.13,0.0038,98.71
67735.18226,1738.63,0.0038,98.71
62503.38677,1722.39,0.0037,98.71
96362.12156,1713.18,0.0037,98.72
41407.0252,1712.52,0.0037,98.72
30822.31636,1708.35,0.0037,98.72
77672.9379,1701.69,0.0037,98.73
52341.01919,1699.67,0.0037,98.73
99092.46226,1698.59,0.0037,98.73
7029.358676,1692.89,0.0037,98.74
15597.37267,1691.10,0.0037,98.74
29598.79286,1684.93,0.0037,98.75
21392.91957,1674.41,0.0036,98.75
43619.56221,1669.47,0.0036,98.75
3917.77502,1663.19,0.0036,98.76
77925.24545,1648.49,0.0036,98.76
39840.7382,1644.42,0.0036,98.76
64602.92922,1636.06,0.0036,98.77
42665.16393,1634.05,0.0036,98.77
97104.28322,1624.72,0.0035,98.77
39272.0371,1619.12,0.0035,98.78
71072.24732,1607.73,0.0035,98.78
56397.93765,1606.77,0.0035,98.79
53178.28644,1605.68,0.0035,98.79
43781.96218,1605.53,0.0035,98.79
45418.91071,1602.64,0.0035,98.80
68677.35508,1596.90,0.0035,98.80
84079.24587,1591.90,0.0035,98.80
89858.93272,1591.78,0.0035,98.81
42600.17895,1589.42,0.0035,98.81
18093.39803,1588.58,0.0035,98.81
17735.99899,1585.58,0.0034,98.82
13116.39256,1580.06,0.0034,98.82
36027.65259,1574.48,0.0034,98.82
68042.0436,1574.46,0.0034,98.83
36000.41446,1564.83,0.0034,98.83
72626.31806,1562.06,0.0034,98.83
43598.46964,1545.23,0.0034,98.84
82832.34393,1544.00,0.0034,98.84
46105.6719,1543.72,0.0034,98.84
99578.02335,1536.22,0.0033,98.85
52169.04283,1532.72,0.0033,98.85
39363.46175,1531.68,0.0033,98.85
91715.26174,1520.36,0.0033,98.86
77808.02707,1514.64,0.0033,98.86
39092.32166,1512.65,0.0033,98.86
27828.58878,1506.53,0.0033,98.87
63005.95015,1503.67,0.0033,98.87
45569.93306,1500.00,0.0033,98.87
87814.61072,1499.80,0.0033,98.88
20418.92732,1492.01,0.0032,98.88
50262.8849,1491.86,0.0032,98.88
88361.49157,1490.00,0.0032,98.89
39885.56665,1485.68,0.0032,98.89
17918.84121,1484.21,0.0032,98.89
82840.00177,1480.07,0.0032,98.90
19058.81913,1474.32,0.0032,98.90
20237.86945,1470.33,0.0032,98.90
81938.12884,1457.65,0.0032,98.91
81592.47126,1453.42,0.0032,98.91
4947.666398,1445.87,0.0031,98.91
63660.10815,1433.09,0.0031,98.91
63145.95994,1431.29,0.0031,98.92
53420.79036,1428.75,0.0031,98.92
20398.71322,1425.99,0.0031,98.92
24821.80158,1424.38,0.0031,98.93
8379.849283,1415.78,0.0031,98.93
69483.66359,1412.60,0.0031,98.93
27049.09815,1411.33,0.0031,98.94
49639.77433,1411.15,0.0031,98.94
83489.02749,1410.97,0.0031,98.94
6170.814283,1403.66,0.0031,98.95
58947.41564,1398.11,0.0030,98.95
66171.33683,1397.61,0.0030,98.95
96698.57672,1397.29,0.0030,98.95
64582.05918,1397.23,0.0030,98.96
70982.74714,1396.74,0.0030,98.96
87339.56134,1396.43,0.0030,98.96
80519.24531,1395.43,0.0030,98.97
91032.29837,1394.88,0.0030,98.97
1258.781429,1391.76,0.0030,98.97
34901.62629,1387.02,0.0030,98.98
56373.14592,1383.18,0.0030,98.98
43416.42237,1382.95,0.0030,98.98
71757.13271,1382.21,0.0030,98.99
68070.96884,1380.29,0.0030,98.99
62669.72857,1380.23,0.0030,98.99
89665.20677,1379.74,0.0030,98.99
90973.58038,1375.98,0.0030,99.00
2037.852636,1373.28,0.0030,99.00
77806.09006,1372.05,0.0030,99.00
5413.494526,1369.15,0.0030,99.01
57080.21584,1366.26,0.0030,99.01
67997.98926,1366.10,0.0030,99.01
34704.75954,1362.79,0.0030,99.01
67214.50172,1362.46,0.0030,99.02
91426.67159,1353.37,0.0029,99.02
35029.33365,1351.52,0.0029,99.02
76461.28919,1350.99,0.0029,99.03
86446.44412,1347.87,0.0029,99.03
32116.59585,1347.18,0.0029,99.03
95967.6622,1347.14,0.0029,99.04
92572.36416,1345.33,0.0029,99.04
52905.99673,1345.29,0.0029,99.04
93725.67222,1339.10,0.0029,99.04
64875.31789,1338.95,0.0029,99.05
41862.31552,1329.34,0.0029,99.05
84645.50897,1325.60,0.0029,99.05
83605.04193,1324.27,0.0029,99.06
48946.68639,1321.58,0.0029,99.06
48169.95335,1316.10,0.0029,99.06
41517.17867,1314.94,0.0029,99.06
59302.89808,1314.91,0.0029,99.07
9568.790692,1310.58,0.0028,99.07
62023.60436,1304.10,0.0028,99.07
18878.15735,1303.13,0.0028,99.08
68937.24966,1302.58,0.0028,99.08
70545.46037,1298.42,0.0028,99.08
14103.03964,1293.30,0.0028,99.08
58765.31507,1291.22,0.0028,99.09
12328.15963,1289.43,0.0028,99.09
19925.59227,1288.89,0.0028,99.09
64792.18691,1288.76,0.0028,99.10
90924.36709,1284.88,0.0028,99.10
21835.37788,1276.58,0.0028,99.10
84810.90016,1275.51,0.0028,99.10
37920.10879,1271.72,0.0028,99.11
33429.50256,1271.42,0.0028,99.11
92629.19002,1266.95,0.0028,99.11
27719.21863,1264.75,0.0027,99.11
71293.47981,1262.86,0.0027,99.12
57416.49581,1261.59,0.0027,99.12
20509.28596,1261.18,0.0027,99.12
46597.28823,1259.82,0.0027,99.13
76441.54962,1257.13,0.0027,99.13
17700.07071,1255.78,0.0027,99.13
49341.73825,1254.75,0.0027,99.13
42003.69568,1250.00,0.0027,99.14
15226.19915,1246.07,0.0027,99.14
65224.58208,1245.95,0.0027,99.14
91035.61917,1243.37,0.0027,99.14
19299.52682,1240.94,0.0027,99.15
42687.20778,1238.13,0.0027,99.15
98329.55094,1237.26,0.0027,99.15
51201.69218,1235.47,0.0027,99.16
36370.45265,1234.54,0.0027,99.16
12707.54855,1229.85,0.0027,99.16
90520.7083,1226.40,0.0027,99.16
4776.122885,1226.33,0.0027,99.17
29891.19471,1223.50,0.0027,99.17
33850.33114,1221.86,0.0027,99.17
6647.529747,1219.22,0.0027,99.17
40989.98232,1218.22,0.0026,99.18
56592.45296,1216.49,0.0026,99.18
29642.6408,1215.24,0.0026,99.18
87180.96882,1213.42,0.0026,99.18
32416.58346,1211.93,0.0026,99.19
14077.96811,1209.19,0.0026,99.19
43160.03555,1203.42,0.0026,99.19
27441.05294,1202.96,0.0026,99.20
46526.14142,1201.99,0.0026,99.20
57529.21552,1199.53,0.0026,99.20
58470.64716,1195.02,0.0026,99.20
71418.1479,1194.80,0.0026,99.21
42528.76975,1189.46,0.0026,99.21
91537.48339,1186.64,0.0026,99.21
95171.47714,1186.60,0.0026,99.21
55583.32874,1183.13,0.0026,99.22
83959.21238,1181.52,0.0026,99.22
10194.79322,1181.51,0.0026,99.22
91961.60577,1180.43,0.0026,99.22
48754.45583,1178.04,0.0026,99.23
32628.01978,1177.57,0.0026,99.23
68881.04221,1176.24,0.0026,99.23
35735.47813,1173.68,0.0026,99.23
28119.91436,1169.93,0.0025,99.24
28952.46873,1166.06,0.0025,99.24
40051.27024,1164.94,0.0025,99.24
58786.99747,1164.94,0.0025,99.24
99255.09936,1163.27,0.0025,99.25
87576.31826,1162.82,0.0025,99.25
22414.89462,1159.56,0.0025,99.25
62403.27701,1159.47,0.0025,99.25
71993.10907,1154.87,0.0025,99.26
2177.326658,1154.40,0.0025,99.26
36628.5949,1151.99,0.0025,99.26
89175.46102,1151.19,0.0025,99.26
98805.82762,1151.09,0.0025,99.27
96062.58778,1149.05,0.0025,99.27
5925.684757,1148.70,0.0025,99.27
54543.47579,1147.51,0.0025,99.27
33972.8887,1146.01,0.0025,99.28
71481.31066,1143.91,0.0025,99.28
61949.22183,1142.64,0.0025,99.28
58204.41592,1142.18,0.0025,99.28
6348.947722,1139.62,0.0025,99.29
29275.11571,1139.19,0.0025,99.29
84010.94264,1138.57,0.0025,99.29
6622.805149,1138.17,0.0025,99.29
63307.53543,1135.83,0.0025,99.30
59338.99383,1135.55,0.0025,99.30
84042.99035,1133.10,0.0025,99.30
66550.65027,1129.92,0.0025,99.30
25506.41763,1129.80,0.0025,99.31
41010.12339,1129.53,0.0025,99.31
3420.153399,1128.77,0.0025,99.31
78607.59891,1122.73,0.0024,99.31
54473.7405,1121.69,0.0024,99.32
23114.85959,1120.49,0.0024,99.32
52795.08937,1120.49,0.0024,99.32
18962.5671,1120.12,0.0024,99.32
10364.08644,1117.37,0.0024,99.33
93505.32572,1117.30,0.0024,99.33
57414.41086,1115.26,0.0024,99.33
56216.19554,1110.53,0.0024,99.33
98215.01082,1110.26,0.0024,99.34
77724.02442,1109.01,0.0024,99.34
47576.20262,1108.65,0.0024,99.34
2809.055866,1107.33,0.0024,99.34
69829.51455,1106.90,0.0024,99.35
95073.07057,1106.52,0.0024,99.35
65502.95564,1104.98,0.0024,99.35
28488.38611,1104.60,0.0024,99.35
92172.87215,1095.50,0.0024,99.35
64638.53689,1092.07,0.0024,99.36
21391.12157,1091.70,0.0024,99.36
45282.24361,1087.91,0.0024,99.36
19572.58943,1087.78,0.0024,99.36
95930.30237,1084.58,0.0024,99.37
97447.0433,1084.42,0.0024,99.37
81114.43459,1083.73,0.0024,99.37
64737.50782,1079.22,0.0023,99.37
49927.08482,1074.88,0.0023,99.38
52913.96599,1073.17,0.0023,99.38
30058.3472,1070.81,0.0023,99.38
31820.58673,1070.81,0.0023,99.38
32667.50506,1070.81,0.0023,99.39
45214.4679,1067.73,0.0023,99.39
12151.20378,1067.26,0.0023,99.39
99188.33387,1067.11,0.0023,99.39
54137.96425,1067.07,0.0023,99.39
28756.86246,1064.05,0.0023,99.40
72754.33596,1064.03,0.0023,99.40
29759.84406,1063.90,0.0023,99.40
90388.28803,1063.51,0.0023,99.40
12445.2829,1062.87,0.0023,99.41
23332.87361,1061.04,0.0023,99.41
59135.77287,1060.30,0.0023,99.41
26139.86709,1057.10,0.0023,99.41
68884.34592,1054.12,0.0023,99.42
14865.09325,1049.81,0.0023,99.42
43950.98135,1049.77,0.0023,99.42
45552.5998,1049.08,0.0023,99.42
99849.03071,1048.66,0.0023,99.42
2753.120319,1045.18,0.0023,99.43
27804.56418,1044.22,0.0023,99.43
83981.03848,1042.65,0.0023,99.43
51684.3261,1042.63,0.0023,99.43
9037.732304,1042.30,0.0023,99.44
86716.7742,1041.73,0.0023,99.44
36916.6025,1041.12,0.0023,99.44
12128.43273,1040.64,0.0023,99.44
6377.506286,1040.55,0.0023,99.44
45812.71534,1039.71,0.0023,99.45
53890.45119,1039.35,0.0023,99.45
26415.88208,1039.01,0.0023,99.45
48497.52952,1038.71,0.0023,99.45
43162.74144,1034.47,0.0022,99.46
12609.24309,1034.12,0.0022,99.46
84694.08252,1032.89,0.0022,99.46
82397.14582,1032.58,0.0022,99.46
7011.978794,1032.55,0.0022,99.47
36242.58921,1031.92,0.0022,99.47
60330.3787,1031.90,0.0022,99.47
14394.16336,1031.80,0.0022,99.47
62332.91036,1028.99,0.0022,99.47
31324.97779,1027.73,0.0022,99.48
81909.30134,1026.11,0.0022,99.48
23447.44641,1023.22,0.0022,99.48
41213.87088,1022.24,0.0022,99.48
65187.64152,1019.39,0.0022,99.49
32263.1607,1017.00,0.0022,99.49
36205.11128,1016.43,0.0022,99.49
12439.48501,1016.24,0.0022,99.49
54009.31797,1015.25,0.0022,99.49
84789.38357,1014.85,0.0022,99.50
27500.37361,1014.72,0.0022,99.50
64627.18514,1014.14,0.0022,99.50
29459.79577,1014.03,0.0022,99.50
75533.75393,1012.43,0.0022,99.50
55949.49666,1010.59,0.0022,99.51
92382.50898,1009.01,0.0022,99.51
28449.61835,1007.97,0.0022,99.51
76289.42711,1004.26,0.0022,99.51
25214.94662,1004.18,0.0022,99.52
84656.47876,1003.61,0.0022,99.52
47743.74185,1003.22,0.0022,99.52
59065.7381,999.60,0.0022,99.52
87198.89708,998.19,0.0022,99.52
73387.0324,996.76,0.0022,99.53
18008.97887,994.24,0.0022,99.53
51079.91694,991.06,0.0022,99.53
10047.9373,987.85,0.0021,99.53
12912.21779,985.19,0.0021,99.54
43279.22621,983.08,0.0021,99.54
22940.71126,979.41,0.0021,99.54
43081.60824,976.07,0.0021,99.54
9502.657564,974.11,0.0021,99.54
89251.54452,968.32,0.0021,99.55
68359.31198,965.76,0.0021,99.55
16357.87583,965.38,0.0021,99.55
76404.29028,961.50,0.0021,99.55
82028.90622,961.45,0.0021,99.55
41308.8366,958.95,0.0021,99.56
9459.675836,953.13,0.0021,99.56
36945.24393,950.20,0.0021,99.56
4773.702864,946.13,0.0021,99.56
61240.23018,942.22,0.0020,99.56
58892.4027,934.45,0.0020,99.57
65992.87814,931.34,0.0020,99.57
99645.52245,922.76,0.0020,99.57
75465.74089,922.67,0.0020,99.57
41967.30897,920.39,0.0020,99.57
57501.49233,917.93,0.0020,99.58
5364.083202,917.19,0.0020,99.58
53101.94765,914.75,0.0020,99.58
57896.9913,911.68,0.0020,99.58
57256.54102,910.64,0.0020,99.58
82482.98319,908.42,0.0020,99.59
18388.13489,907.00,0.0020,99.59
99761.34426,900.96,0.0020,99.59
55168.57614,900.09,0.0020,99.59
75522.24675,898.77,0.0020,99.59
51646.57145,888.55,0.0019,99.60
40053.72223,882.94,0.0019,99.60
21602.76529,881.86,0.0019,99.60
25223.15719,876.37,0.0019,99.60
85361.35278,874.90,0.0019,99.60
54077.96146,873.98,0.0019,99.61
33661.78504,869.30,0.0019,99.61
54641.93821,864.60,0.0019,99.61
81436.64405,862.81,0.0019,99.61
91258.55653,862.56,0.0019,99.61
51310.78553,861.47,0.0019,99.62
8357.205586,861.32,0.0019,99.62
90478.79893,858.55,0.0019,99.62
19197.77684,855.58,0.0019,99.62
88578.74314,855.55,0.0019,99.62
71000.67199,846.46,0.0018,99.62
55007.58459,845.23,0.0018,99.63
19501.29949,845.09,0.0018,99.63
31835.0261,844.20,0.0018,99.63
28524.55907,835.34,0.0018,99.63
70964.12009,833.34,0.0018,99.63
74532.16,829.42,0.0018,99.64
93469.55851,825.27,0.0018,99.64
64325.68991,825.16,0.0018,99.64
95636.9494,824.42,0.0018,99.64
36174.29807,823.75,0.0018,99.64
86459.93995,820.96,0.0018,99.64
82812.70332,820.70,0.0018,99.65
49986.20614,820.63,0.0018,99.65
42965.73643,816.69,0.0018,99.65
43094.78882,814.23,0.0018,99.65
36888.64543,812.72,0.0018,99.65
88924.53858,811.53,0.0018,99.66
50611.65194,810.03,0.0018,99.66
94965.05464,809.61,0.0018,99.66
70304.02287,808.46,0.0018,99.66
7345.440177,802.37,0.0017,99.66
4154.608702,802.21,0.0017,99.66
31967.57789,798.85,0.0017,99.67
60158.7279,798.36,0.0017,99.67
55042.65347,797.79,0.0017,99.67
23915.89994,792.92,0.0017,99.67
56531.78891,791.80,0.0017,99.67
64333.34908,790.00,0.0017,99.67
813.4034714,785.79,0.0017,99.68
51747.62584,785.59,0.0017,99.68
8766.781667,784.24,0.0017,99.68
39637.39026,782.74,0.0017,99.68
97205.91371,781.73,0.0017,99.68
10035.77473,780.00,0.0017,99.68
73865.19729,774.74,0.0017,99.69
67602.561,772.72,0.0017,99.69
35399.65831,772.05,0.0017,99.69
95156.36474,770.70,0.0017,99.69
12419.57396,755.27,0.0016,99.69
70111.06583,752.71,0.0016,99.69
42911.57872,744.58,0.0016,99.70
7170.446972,743.09,0.0016,99.70
75297.9515,742.36,0.0016,99.70
2224.124802,740.27,0.0016,99.70
61494.19702,738.73,0.0016,99.70
86637.3065,735.60,0.0016,99.70
19447.59679,735.04,0.0016,99.71
95331.43224,733.36,0.0016,99.71
81261.10865,725.60,0.0016,99.71
52640.43787,719.83,0.0016,99.71
79546.86262,716.59,0.0016,99.71
87416.0724,680.00,0.0015,99.71
77704.06654,603.65,0.0013,99.71
87383.01663,602.85,0.0013,99.72
16996.04226,602.75,0.0013,99.72
1132.416829,600.69,0.0013,99.72
45570.45261,600.00,0.0013,99.72
57758.83566,598.45,0.0013,99.72
42497.04662,597.31,0.0013,99.72
48757.60959,595.63,0.0013,99.72
46566.80195,588.79,0.0013,99.73
1449.195854,588.55,0.0013,99.73
