SKU ,Std. Price ($),On-Hand Stock ($),Inventory in units on-hand,"APU
(units)",Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,June,July,August,September,Demand for the whole year,APU Trend,S-OTD,Demand variability (COV),Lead Time (days)
88457, 7 ,35930.2806," 4,806 ",4318,5181.6,5181.6,5181.6,5181.6,5181.6,5181.6,5181.6,5181.6,5181.6,5181.6,5181.6,5181.6,62179.2,0.20,1,0.36,58
16053, 6 ,18539.59911," 3,311 ",1844,553.2,553.2,553.2,553.2,553.2,553.2,553.2,553.2,553.2,553.2,553.2,553.2,6638.4,-0.70,1,0.62,58
83385, 10 ,74072.65535," 7,092 ",5668,14170,14170,14170,14170,14170,14170,14170,14170,14170,14170,14170,14170,170040.0,1.50,0.78,0.64,42
44411, 33 ,37132.23544," 1,135 ",6694,8032.8,8032.8,8032.8,8032.8,8032.8,8032.8,8032.8,8032.8,8032.8,8032.8,8032.8,8032.8,96393.6,0.20,1,0.37,11
1365, 12 ,31962.01211," 2,694 ",6282,7538.4,7538.4,7538.4,7538.4,7538.4,7538.4,7538.4,7538.4,7538.4,7538.4,7538.4,7538.4,90460.8,0.20,1,0.16,45
33414, 9 ,22841.05524," 2,619 ",5732,3439.2,3439.2,3439.2,3439.2,3439.2,3439.2,3439.2,3439.2,3439.2,3439.2,3439.2,3439.2,41270.4,-0.40,1,0.22,35
46788, 7 ,21457.44231," 2,972 ",7058,4234.8,4234.8,4234.8,4234.8,4234.8,4234.8,4234.8,4234.8,4234.8,4234.8,4234.8,4234.8,50817.6,-0.40,1,0.77,12
87707, 7 ,14235.72615," 1,982 ",7608,6086.4,6086.4,6086.4,6086.4,6086.4,6086.4,6086.4,6086.4,6086.4,6086.4,6086.4,6086.4,73036.8,-0.20,1,0.42,12
3558, 23 ,13541.00416, 596 ,6606,2642.4,2642.4,2642.4,2642.4,2642.4,2642.4,2642.4,2642.4,2642.4,2642.4,2642.4,2642.4,31708.8,-0.60,1,0.15,12
22917, 25 ,47239.84551," 1,858 ",6986,10479,10479,10479,10479,10479,10479,10479,10479,10479,10479,10479,10479,125748.0,0.50,1,0.19,30
84763, 6 ,43361.77783," 7,672 ",6476,1942.8,1942.8,1942.8,1942.8,1942.8,1942.8,1942.8,1942.8,1942.8,1942.8,1942.8,1942.8,23313.6,-0.70,1,0.42,51
69879, 7 ,81314.60613," 11,320 ",6338,7605.6,7605.6,7605.6,7605.6,7605.6,7605.6,7605.6,7605.6,7605.6,7605.6,7605.6,7605.6,91267.2,0.20,1,0.51,71
26341, 7 ,25751.25511," 3,585 ",6598,2639.2,2639.2,2639.2,2639.2,2639.2,2639.2,2639.2,2639.2,2639.2,2639.2,2639.2,2639.2,31670.4,-0.60,1,0.47,23
2333, 7 ,52711.61829," 7,466 ",6776,10164,10164,10164,10164,10164,10164,10164,10164,10164,10164,10164,10164,121968.0,0.50,0.88,0.49,44
28064, 7 ,70972.28895," 9,969 ",10138,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,182484.0,0.50,1,0.68,31
49404, 22 ,130444.8951," 5,868 ",9766,21485.2,21485.2,21485.2,21485.2,21485.2,21485.2,21485.2,21485.2,21485.2,21485.2,21485.2,21485.2,257822.4,1.20,0.88,0.46,30
72434, 9 ,40204.01999," 4,272 ",8328,11659.2,11659.2,11659.2,11659.2,11659.2,11659.2,11659.2,11659.2,11659.2,11659.2,11659.2,11659.2,139910.4,0.40,1,0.25,37
34320, 7 ,191911.5258," 25,872 ",24882,62205,62205,62205,62205,62205,62205,62205,62205,62205,62205,62205,62205,746460.0,1.50,0.9,0.25,66
96257, 13 ,29591.74096," 2,307 ",6872,8246.4,8246.4,8246.4,8246.4,8246.4,8246.4,8246.4,8246.4,8246.4,8246.4,8246.4,8246.4,98956.8,0.20,1,0.21,30
31844, 6 ,212412.7546," 34,794 ",16532,23144.8,23144.8,23144.8,23144.8,23144.8,23144.8,23144.8,23144.8,23144.8,23144.8,23144.8,23144.8,277737.6,0.40,0.8,1.15,41
79483, 6 ,21842.3531," 3,916 ",7034,9847.6,9847.6,9847.6,9847.6,9847.6,9847.6,9847.6,9847.6,9847.6,9847.6,9847.6,9847.6,118171.2,0.40,1,0.28,31
44090, 12 ,39594.31015," 3,200 ",7050,15510,15510,15510,15510,15510,15510,15510,15510,15510,15510,15510,15510,186120.0,1.20,0.82,0.63,16
33511, 7 ,19773.03754," 2,773 ",7568,3027.2,3027.2,3027.2,3027.2,3027.2,3027.2,3027.2,3027.2,3027.2,3027.2,3027.2,3027.2,36326.4,-0.60,1,0.45,16
18112, 7 ,29621.55269," 4,093 ",8514,21285,21285,21285,21285,21285,21285,21285,21285,21285,21285,21285,21285,255420.0,1.50,1,0.4,23
46754, 7 ,134153.6013," 17,958 ",10040,15060,15060,15060,15060,15060,15060,15060,15060,15060,15060,15060,15060,180720.0,0.50,1,0.92,44
67856, 5 ,41942.38539," 7,719 ",8578,7720.2,7720.2,7720.2,7720.2,7720.2,7720.2,7720.2,7720.2,7720.2,7720.2,7720.2,7720.2,92642.4,-0.10,1,0.34,44
75129, 6 ,12787.98335," 2,286 ",8708,6966.4,6966.4,6966.4,6966.4,6966.4,6966.4,6966.4,6966.4,6966.4,6966.4,6966.4,6966.4,83596.8,-0.20,1,0.24,16
56243, 7 ,21078.56917," 2,994 ",8360,11704,11704,11704,11704,11704,11704,11704,11704,11704,11704,11704,11704,140448.0,0.40,1,0.21,26
7725, 8 ,70220.50387," 8,466 ",8496,10195.2,10195.2,10195.2,10195.2,10195.2,10195.2,10195.2,10195.2,10195.2,10195.2,10195.2,10195.2,122342.4,0.20,1,0.74,30
94863, 7 ,59745.28479," 8,387 ",10842,15178.8,15178.8,15178.8,15178.8,15178.8,15178.8,15178.8,15178.8,15178.8,15178.8,15178.8,15178.8,182145.6,0.40,1,0.73,23
79780, 6 ,46953.20477," 8,272 ",11230,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,121284.0,-0.10,1,0.73,21
56444, 7 ,26586.9349," 3,546 ",11408,9126.4,9126.4,9126.4,9126.4,9126.4,9126.4,9126.4,9126.4,9126.4,9126.4,9126.4,9126.4,109516.8,-0.20,1,0.13,30
12710, 7 ,27403.30013," 3,840 ",10436,3130.8,3130.8,3130.8,3130.8,3130.8,3130.8,3130.8,3130.8,3130.8,3130.8,3130.8,3130.8,37569.6,-0.70,1,0.27,23
40586, 14 ,89260.9681," 6,510 ",13356,33390,33390,33390,33390,33390,33390,33390,33390,33390,33390,33390,33390,400680.0,1.50,0.7,0.37,23
10199, 7 ,29473.2034," 4,103 ",11618,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,209124.0,0.50,0.91,0.42,16
11939, 30 ,91059.92594," 2,993 ",13032,15638.4,15638.4,15638.4,15638.4,15638.4,15638.4,15638.4,15638.4,15638.4,15638.4,15638.4,15638.4,187660.8,0.20,1,0.34,16
25891, 6 ,13447.73307," 2,231 ",3226,5806.8,5806.8,5806.8,5806.8,5806.8,5806.8,5806.8,5806.8,5806.8,5806.8,5806.8,5806.8,69681.6,0.80,0.75,0.92,16
81821, 7 ,24579.91568," 3,470 ",14292,4287.6,4287.6,4287.6,4287.6,4287.6,4287.6,4287.6,4287.6,4287.6,4287.6,4287.6,4287.6,51451.2,-0.70,0.88,0.36,12
84897, 8 ,98832.88487," 12,108 ",13776,16531.2,16531.2,16531.2,16531.2,16531.2,16531.2,16531.2,16531.2,16531.2,16531.2,16531.2,16531.2,198374.4,0.20,0.88,0.86,23
69337, 7 ,105195.2705," 14,884 ",14042,11233.6,11233.6,11233.6,11233.6,11233.6,11233.6,11233.6,11233.6,11233.6,11233.6,11233.6,11233.6,134803.2,-0.20,0.8,0.26,58
81690, 6 ,190999.4079," 34,008 ",15126,21176.4,21176.4,21176.4,21176.4,21176.4,21176.4,21176.4,21176.4,21176.4,21176.4,21176.4,21176.4,254116.8,0.40,0.87,0.57,76
96658, 6 ,29513.22312," 4,817 ",15020,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,108144.0,-0.40,0.85,0.12,23
4632, 6 ,53445.63312," 9,462 ",15990,22386,22386,22386,22386,22386,22386,22386,22386,22386,22386,22386,22386,268632.0,0.40,0.93,0.48,23
12619, 6 ,303071.3389," 47,774 ",15086,37715,37715,37715,37715,37715,37715,37715,37715,37715,37715,37715,37715,452580.0,1.50,0.87,0.26,181
5742, 30 ,41129.99106," 1,352 ",15676,23514,23514,23514,23514,23514,23514,23514,23514,23514,23514,23514,23514,282168.0,0.50,1,0.17,11
83005, 6 ,33597.36253," 6,017 ",15222,27399.6,27399.6,27399.6,27399.6,27399.6,27399.6,27399.6,27399.6,27399.6,27399.6,27399.6,27399.6,328795.2,0.80,1,0.26,23
82551, 8 ,123750.2047," 16,281 ",21520,30128,30128,30128,30128,30128,30128,30128,30128,30128,30128,30128,30128,361536.0,0.40,1,0.72,23
67689, 23 ,32969.81946," 1,435 ",17236,20683.2,20683.2,20683.2,20683.2,20683.2,20683.2,20683.2,20683.2,20683.2,20683.2,20683.2,20683.2,248198.4,0.20,1,0.09,16
29077, 7 ,43245.83888," 5,857 ",16426,22996.4,22996.4,22996.4,22996.4,22996.4,22996.4,22996.4,22996.4,22996.4,22996.4,22996.4,22996.4,275956.8,0.40,0.82,0.68,11
24320, 7 ,40566.69796," 5,494 ",17194,24071.6,24071.6,24071.6,24071.6,24071.6,24071.6,24071.6,24071.6,24071.6,24071.6,24071.6,24071.6,288859.2,0.40,1,0.22,23
87631, 7 ,227620.0581," 32,358 ",19498,48745,48745,48745,48745,48745,48745,48745,48745,48745,48745,48745,48745,584940.0,1.50,0.93,0.19,123
42077, 33 ,111239.6403," 3,399 ",21988,13192.8,13192.8,13192.8,13192.8,13192.8,13192.8,13192.8,13192.8,13192.8,13192.8,13192.8,13192.8,158313.6,-0.40,1,0.22,16
15372, 5 ,33895.44659," 6,404 ",18254,29206.4,29206.4,29206.4,29206.4,29206.4,29206.4,29206.4,29206.4,29206.4,29206.4,29206.4,29206.4,350476.8,0.60,0.87,0.35,16
64572, 7 ,59140.88861," 7,973 ",6808,8169.6,8169.6,8169.6,8169.6,8169.6,8169.6,8169.6,8169.6,8169.6,8169.6,8169.6,8169.6,98035.2,0.20,0.8,0.82,31
99692, 7 ,62109.28516," 8,809 ",27146,59721.2,59721.2,59721.2,59721.2,59721.2,59721.2,59721.2,59721.2,59721.2,59721.2,59721.2,59721.2,716654.4,1.20,1,0.38,16
56309, 7 ,101589.1993," 13,983 ",23864,33409.6,33409.6,33409.6,33409.6,33409.6,33409.6,33409.6,33409.6,33409.6,33409.6,33409.6,33409.6,400915.2,0.40,1,0.52,23
17878, 7 ,294228.1596," 41,151 ",25360,15216,15216,15216,15216,15216,15216,15216,15216,15216,15216,15216,15216,182592.0,-0.40,1,0.41,76
28359, 7 ,107730.57," 14,998 ",26322,65805,65805,65805,65805,65805,65805,65805,65805,65805,65805,65805,65805,789660.0,1.50,1,0.5,23
69433, 7 ,89797.18231," 12,351 ",44962,53954.4,53954.4,53954.4,53954.4,53954.4,53954.4,53954.4,53954.4,53954.4,53954.4,53954.4,53954.4,647452.8,0.20,0.81,0.47,11
85526, 6 ,80378.50117," 13,658 ",34082,61347.6,61347.6,61347.6,61347.6,61347.6,61347.6,61347.6,61347.6,61347.6,61347.6,61347.6,61347.6,736171.2,0.80,0.8,0.19,23
22512, 7 ,167861.1342," 23,621 ",50200,40160,40160,40160,40160,40160,40160,40160,40160,40160,40160,40160,40160,481920.0,-0.20,0.91,0.49,19
26570, 8 ,110715.501," 14,614 ",43280,51936,51936,51936,51936,51936,51936,51936,51936,51936,51936,51936,51936,623232.0,0.20,1,0.2,26
70313, 7 ,230548.2226," 32,245 ",41268,61902,61902,61902,61902,61902,61902,61902,61902,61902,61902,61902,61902,742824.0,0.50,0.9,0.3,44
20770, 7 ,461006.6038," 65,613 ",63530,57177,57177,57177,57177,57177,57177,57177,57177,57177,57177,57177,57177,686124.0,-0.10,1,0.16,87
21691, 8 ,310793.6574," 41,024 ",74014,88816.8,88816.8,88816.8,88816.8,88816.8,88816.8,88816.8,88816.8,88816.8,88816.8,88816.8,88816.8,1065801.6,0.20,1,0.49,23
64993, 8 ,1395586.717," 181,895 ",141812,198536.8,198536.8,198536.8,198536.8,198536.8,198536.8,198536.8,198536.8,198536.8,198536.8,198536.8,198536.8,2382441.6,0.40,1,0.37,66
59649, 7 ,544249.7771," 74,857 ",177324,265986,265986,265986,265986,265986,265986,265986,265986,265986,265986,265986,265986,3191832.0,0.50,1,0.17,35
36272, 5 ,334335.4562," 63,816 ",229786,505529.2,505529.2,505529.2,505529.2,505529.2,505529.2,505529.2,505529.2,505529.2,505529.2,505529.2,505529.2,6066350.4,1.20,0.92,0.12,21
56722, 5 ,4876665.14," 925,539 ",232324,278788.8,278788.8,278788.8,278788.8,278788.8,278788.8,278788.8,278788.8,278788.8,278788.8,278788.8,278788.8,3345465.6,0.20,1,0.6,130
40165, 14 ,64.6772133, 4 ,10,9,9,9,9,9,9,9,9,9,9,9,9,108.0,-0.10,1,0.9,12
57581, 6 ,500.6344223, 83 ,204,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,1468.8,-0.40,0.86,0.25,23
76674, 6 ,2593.037573, 427 ,244,195.2,195.2,195.2,195.2,195.2,195.2,195.2,195.2,195.2,195.2,195.2,195.2,2342.4,-0.20,0.97,0.94,41
19581, 57 ,1791.98187, 32 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,0.7,0.9,58
61839, 8 ,260.8919813, 31 ,34,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,122.4,-0.70,0.82,0.9,23
65225, 5 ,1245.945749, 244 ,284,227.2,227.2,227.2,227.2,227.2,227.2,227.2,227.2,227.2,227.2,227.2,227.2,2726.4,-0.20,0.9,0.7,30
81308, 199 ,17123.3231, 86 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.82,2.48,90
65503, 91 ,1104.975815, 12 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.82,0.86,30
46022, 12 ,229.8254577, 20 ,50,30,30,30,30,30,30,30,30,30,30,30,30,360.0,-0.40,1,0.25,30
19740, 25 ,64.12261277, 3 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,0.25,23
75522, 9 ,898.7696983, 103 ,42,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,604.8,0.20,1,1.68,30
19198, 16 ,855.5766688, 53 ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,0.83,1.52,73
38560, 14 ,68.2965741, 5 ,10,8,8,8,8,8,8,8,8,8,8,8,8,96.0,-0.20,0.75,0.25,30
41967, 97 ,920.392352, 10 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,0.82,0.25,66
17683, 87 ,341.950716, 4 ,10,3,3,3,3,3,3,3,3,3,3,3,3,36.0,-0.70,0.71,0.25,26
57245, 223 ,566.3179585, 3 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,1,0.25,26
62024, 6 ,1304.104869, 217 ,106,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,763.2,-0.40,0.83,1.3,44
67684, 5 ,6415.652652," 1,241 ",170,51,51,51,51,51,51,51,51,51,51,51,51,612.0,-0.70,0.9,1.68,101
99188, 16 ,1067.110693, 66 ,42,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,806.4,0.60,1,1.16,41
94414, 19 ,81.0515344, 4 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.82,0.25,30
18408, 9 ,89.63338986, 10 ,42,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,705.6,0.40,0.87,0.25,16
34254, 12 ,284.5800779, 23 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,0.94,1.04,30
52795, 93 ,1120.494764, 12 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,1.23,31
23447, 8 ,1023.218639, 131 ,34,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,244.8,-0.40,1,1.26,61
70201, 16 ,234.2716577, 15 ,10,9,9,9,9,9,9,9,9,9,9,9,9,108.0,-0.10,1,1.59,23
67749, 12 ,157.0489216, 13 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.71,1.03,30
6592, 23 ,234.781388, 10 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,1,0.87,16
34117, 5 ,90.72276412, 18 ,34,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,734.4,0.80,1,0.25,30
35471, 12 ,181.1433889, 15 ,74,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,532.8,-0.40,1,0.25,16
96717, 9 ,501.6236122, 55 ,66,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,316.8,-0.60,0.78,1.23,16
93159, 13 ,151.5426307, 11 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,1,0.87,31
39214, 5 ,247.3733118, 49 ,42,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,403.2,-0.20,0.82,1.8,15
7120, 6 ,17.24694022, 3 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,0.82,0.25,16
34785, 51 ,375.2788128, 7 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,0.9,0.25,66
21448, 23 ,51.68089955, 2 ,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.20,1,0.25,11
89304, 12 ,44.03994965, 4 ,18,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,345.6,0.60,1,0.25,16
40688, 5 ,69.45577728, 13 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,1.95,16
13481, 8 ,509.7376872, 62 ,34,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,489.6,0.20,0.7,1.91,23
46870, 13 ,402.9565926, 30 ,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.20,0.82,1.09,37
92010, 8 ,364.9258767, 44 ,18,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,194.4,-0.10,0.82,2.66,23
38731, 11 ,34.19245981, 3 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,1,0.25,23
82235, 10 ,66.53067285, 7 ,26,65,65,65,65,65,65,65,65,65,65,65,65,780.0,1.50,0.82,0.25,16
90958, 23 ,54.84388031, 2 ,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.80,0.91,0.25,11
43977, 6 ,68.99228646, 11 ,18,45,45,45,45,45,45,45,45,45,45,45,45,540.0,1.50,1,0.86,16
50997, 79 ,172.7823418, 2 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.93,0.25,21
57226, 7 ,393.4865822, 54 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,1,1.47,87
3741, 7 ,115.0058598, 17 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,0.99,1.8,23
36413, 7 ,119.445768, 16 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,1,1.23,17
784, 29 ,248.6974362, 8 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.84,1.34,16
24319, 11 ,115.3983533, 10 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,1,1.6,16
44376, 20 ,225.4596095, 11 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,1,1.8,16
44413, 5 ,19.31188828, 4 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,1,0.25,21
27250, 6 ,157.3116977, 26 ,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.20,0.76,1.25,26
12591, 8 ,117.7352137, 16 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,1,0.25,58
18554, 8 ,46.688102, 6 ,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.20,1,0.25,23
7328, 17 ,31.89517085, 2 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,0.25,16
60644, 23 ,477.1814843, 21 ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,1,1.28,41
33525, 20 ,398.4098653, 20 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.76,2.18,23
37961, 10 ,340.8854064, 36 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.84,1.16,73
98390, 6 ,18.93038061, 3 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,0.25,19
36031, 13 ,313.2830488, 25 ,10,3,3,3,3,3,3,3,3,3,3,3,3,36.0,-0.70,1,0.95,63
88608, 13 ,198.5056453, 15 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,0.89,1.6,23
76165, 31 ,54.67614305, 2 ,10,8,8,8,8,8,8,8,8,8,8,8,8,96.0,-0.20,1,0.25,16
95500, 6 ,312.4421646, 52 ,42,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,705.6,0.40,0.84,1.84,16
86427, 6 ,29.73874278, 5 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,0.94,0.25,30
46285, 7 ,85.96560117, 13 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,0.9,31
55912, 5 ,160.6762246, 30 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.77,1.54,44
41393, 424 ,41.01086326, -   ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,0.25,1
14959, 30 ,94.84809834, 3 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,1,0.25,16
6729, 12 ,24.57284143, 2 ,10,9,9,9,9,9,9,9,9,9,9,9,9,108.0,-0.10,1,0.25,16
691, 6 ,4.047403733, 1 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,1,0.25,4
9970, 10 ,5.461282415, 1 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,1,0.25,4
76995, 6 ,3.858860532, 1 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,0.25,4
7728, 74 ,15.03065825, -   ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,1,0.25,2
61808, 23 ,53.21426328, 2 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,1,1.47,4
20059, 466 ,45.02975731, -   ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,0.25,1
38, 373 ,129.9308154, -   ,18,45,45,45,45,45,45,45,45,45,45,45,45,540.0,1.50,1,0.25,2
59027, 24 ,296.3694446, 12 ,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.20,0.83,0.25,36
41124, 17 ,6.009802191, -   ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,0.25,3
6378, 267 ,1040.550055, 4 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,0.25,49
68729, 577 ,7718.093865, 13 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,1.34,26
15171, 54 ,11.23608017, -   ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,0.25,2
90461, 207 ,40.47508104, -   ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,1,0.25,2
56401, 383 ,540.9639534, 1 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,0.88,0.91,4
56367, 99 ,296.9737356, 3 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,0.25,30
56, 27 ,551.4226714, 20 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,1,1.8,16
23375, 48 ,80.39836933, 2 ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,1,0.25,16
53826, 10 ,37.60026359, 4 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,1.8,5
54642, 143 ,864.6030124, 6 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,0.88,15
73648, 19 ,35.71500533, 2 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,0.25,16
94612, 25 ,45.33708667, 2 ,10,8,8,8,8,8,8,8,8,8,8,8,8,96.0,-0.20,1,0.25,16
12629, 363 ,5006.379654, 14 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,1,0.97,37
78354, 37 ,38.86861267, 1 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,1,1.33,2
15200, 20 ,27.61300992, 1 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,1,0.25,12
954, 49 ,308.0883325, 6 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.82,1.47,11
9530, 49 ,372.7481916, 8 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,1,1.8,11
67014, 6 ,30.15848334, 5 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,1.9,6
94992, 6 ,33.1653574, 6 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,2.33,6
48155, 11 ,56.8174545, 5 ,18,45,45,45,45,45,45,45,45,45,45,45,45,540.0,1.50,0.71,0.25,16
80697, 27 ,438.2019067, 17 ,10,9,9,9,9,9,9,9,9,9,9,9,9,108.0,-0.10,1,1.62,26
22667, 12 ,516.8148053, 43 ,42,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,604.8,0.20,1,1.6,16
43279, 85 ,983.0846498, 12 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,0.97,26
79136, 25 ,306.5030163, 12 ,10,3,3,3,3,3,3,3,3,3,3,3,3,36.0,-0.70,1,1.95,16
88600," 1,943 ",33956.07381, 17 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,0.83,1.33,34
21917, 59 ,119.7191243, 2 ,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.20,1,0.25,11
43831, 13 ,63.87172351, 5 ,10,4,4,4,4,4,4,4,4,4,4,4,4,48.0,-0.60,0.82,2,6
45570, 6 ,600, 94 ,10,3,3,3,3,3,3,3,3,3,3,3,3,36.0,-0.70,1,0.25,6
30364, 16 ,21.74613442, 1 ,18,45,45,45,45,45,45,45,45,45,45,45,45,540.0,1.50,0.95,0.25,6
