sku ,standard_price,on_hand_stock_value,inventory_units_on_hand,average_monthly_usage,october_demand,november_demand,december_demand,january_demand,february_demand,march_demand,april_demand,may_demand,june_demand,july_demand,august_demand,september_demand,annual_demand,average_monthly_usage_trend,supplier_on_time_delivery,demand_variability_cov,lead_time_days
23447.44641,8,1023.218639,131,34,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,244.8,-0.4,1,1.26,61
70200.57052,16,234.2716577,15,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,1,1.59,23
67748.83664,12,157.0489216,13,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.71,1.03,30
6591.650064,23,234.781388,10,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,0.87,16
34117.21829,5,90.72276412,18,34,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,734.4,0.8,1,0.25,30
35470.91724,12,181.1433889,15,74,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,532.8,-0.4,1,0.25,16
96716.7153,9,501.6236122,55,66,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,316.8,-0.6,0.78,1.23,16
93158.66933,13,151.5426307,11,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,1,0.87,31
39214.33263,5,247.3733118,49,42,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,403.2,-0.2,0.82,1.8,15
7120.092627,6,17.24694022,3,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,0.82,0.25,16
34784.80383,51,375.2788128,7,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,0.9,0.25,66
21448.01887,23,51.68089955,2,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,1,0.25,11
89304.32349,12,44.03994965,4,18,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,345.6,0.6,1,0.25,16
40688.08369,5,69.45577728,13,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1.95,16
13480.94554,8,509.7376872,62,34,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,489.6,0.2,0.7,1.91,23
46869.79545,13,402.9565926,30,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.2,0.82,1.09,37
92010.48054,8,364.9258767,44,18,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,194.4,-0.1,0.82,2.66,23
38731.46507,11,34.19245981,3,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,0.25,23
82235.37377,10,66.53067285,7,26,65,65,65,65,65,65,65,65,65,65,65,65,780,1.5,0.82,0.25,16
90957.94537,23,54.84388031,2,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,0.91,0.25,11
43977.12847,6,68.99228646,11,18,45,45,45,45,45,45,45,45,45,45,45,45,540,1.5,1,0.86,16
50997.24849,79,172.7823418,2,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.93,0.25,21
57225.68169,7,393.4865822,54,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,1,1.47,87
3741.109181,7,115.0058598,17,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,0.99,1.8,23
36412.69172,7,119.445768,16,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,1,1.23,17
783.9037727,29,248.6974362,8,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,0.84,1.34,16
24318.61343,11,115.3983533,10,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,1,1.6,16
44375.94425,20,225.4596095,11,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.8,16
44413.41443,5,19.31188828,4,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,1,0.25,21
27249.77679,6,157.3116977,26,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.2,0.76,1.25,26
12591.10447,8,117.7352137,16,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,1,0.25,58
18554.01969,8,46.688102,6,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,1,0.25,23
7328.011437,17,31.89517085,2,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,0.25,16
60644.09712,23,477.1814843,21,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,1,1.28,41
33525.41556,20,398.4098653,20,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.76,2.18,23
37961.20578,10,340.8854064,36,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.84,1.16,73
98390.26878,6,18.93038061,3,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,0.25,19
36030.96631,13,313.2830488,25,10,3,3,3,3,3,3,3,3,3,3,3,3,36,-0.7,1,0.95,63
88608.29211,13,198.5056453,15,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,0.89,1.6,23
76164.66068,31,54.67614305,2,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,1,0.25,16
95500.49016,6,312.4421646,52,42,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,705.6,0.4,0.84,1.84,16
86427.24351,6,29.73874278,5,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,0.94,0.25,30
46285.29314,7,85.96560117,13,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,0.9,31
55912.04181,5,160.6762246,30,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.77,1.54,44
41393.25239,424,41.01086326,0,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,0.25,1
14959.28489,30,94.84809834,3,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,0.25,16
6729.404205,12,24.57284143,2,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,1,0.25,16
691.0125995,6,4.047403733,1,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,1,0.25,4
9969.623746,10,5.461282415,1,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,0.25,4
76995.05268,6,3.858860532,1,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,0.25,4
7728.237731,74,15.03065825,0,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,1,0.25,2
61807.91734,23,53.21426328,2,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,1,1.47,4
20058.57596,466,45.02975731,0,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,0.25,1
38.49898826,373,129.9308154,0,18,45,45,45,45,45,45,45,45,45,45,45,45,540,1.5,1,0.25,2
59027.20799,24,296.3694446,12,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,0.83,0.25,36
41123.51408,17,6.009802191,0,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,0.25,3
6377.506286,267,1040.550055,4,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,0.25,49
68729.12159,577,7718.093865,13,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1.34,26
15171.17002,54,11.23608017,0,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,0.25,2
90461.4167,207,40.47508104,0,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,1,0.25,2
56400.75485,383,540.9639534,1,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,0.88,0.91,4
56366.72822,99,296.9737356,3,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,0.25,30
55.95166091,27,551.4226714,20,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,1.8,16
23375.12566,48,80.39836933,2,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,1,0.25,16
53825.93435,10,37.60026359,4,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1.8,5
54641.93821,143,864.6030124,6,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,0.88,15
73648.21102,19,35.71500533,2,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,0.25,16
94612.03893,25,45.33708667,2,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,1,0.25,16
12629.01671,363,5006.379654,14,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,1,0.97,37
78354.19965,37,38.86861267,1,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,1,1.33,2
15199.53512,20,27.61300992,1,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,1,0.25,12
954.1068846,49,308.0883325,6,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.82,1.47,11
9530.401133,49,372.7481916,8,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,1,1.8,11
67013.58459,6,30.15848334,5,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1.9,6
94992.44171,6,33.1653574,6,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,2.33,6
48155.2649,11,56.8174545,5,18,45,45,45,45,45,45,45,45,45,45,45,45,540,1.5,0.71,0.25,16
80696.93523,27,438.2019067,17,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,1,1.62,26
22667.03678,12,516.8148053,43,42,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,604.8,0.2,1,1.6,16
43279.22621,85,983.0846498,12,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,0.97,26
79135.88516,25,306.5030163,12,10,3,3,3,3,3,3,3,3,3,3,3,3,36,-0.7,1,1.95,16
88599.52275,1943,33956.07381,17,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,0.83,1.33,34
21917.13829,59,119.7191243,2,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,1,0.25,11
43831.07434,13,63.87172351,5,10,4,4,4,4,4,4,4,4,4,4,4,4,48,-0.6,0.82,2,6
45570.45261,6,600,94,10,3,3,3,3,3,3,3,3,3,3,3,3,36,-0.7,1,0.25,6
30363.57703,16,21.74613442,1,18,45,45,45,45,45,45,45,45,45,45,45,45,540,1.5,0.95,0.25,6
50888.71464,12,17.18045797,1,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,1,0.25,6
47556.58701,120,308.3173127,3,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,1,0.25,26
64312.54785,7,14.76514923,2,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,1,1,5
77284.04906,12,30.66947665,3,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1.23,5
24479.56596,20,41.26541253,2,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,1,2.62,2
16763.75203,15,52.8986832,4,18,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,86.4,-0.6,1,0.25,16
34756.29703,8,64.35454565,9,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,0.85,2.33,5
39358.36771,5,12.16804761,2,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,0.98,5
55930.93798,6,8.103612,1,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,1,0.25,8
28439.44014,17,58.474218,3,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,1,0.25,16
56490.52412,20,187.9480017,9,10,3,3,3,3,3,3,3,3,3,3,3,3,36,-0.7,0.84,1.47,16
14719.85298,18,41.66905133,2,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.2,1,0.25,11
66054.84358,12,44.5946952,4,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.2,1,0.25,16
58730.32383,10,27.64124303,3,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,1,0.25,11
46476.69875,24,355.1994988,15,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,1,0.95,39
87976.94761,404,7513.597803,19,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.73,28
30213.94562,108,3385.443899,31,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,2.48,33
72973.15103,6,26.88986792,4,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,1,0.91,6
52567.94807,341,16943.67739,50,18,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,345.6,0.6,0.82,2.66,27
60451.34082,64,355.5902988,6,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.2,1,0.25,16
64530.52671,21,62.3840723,3,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,1,0.25,26
96146.75067,52,376.8499293,7,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.86,0.25,62
79018.36345,6,51.27036545,8,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,0.75,1.4,5
15232.50738,11,341.3881481,31,26,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,436.8,0.4,1,1.85,16
19063.58305,7,6.70149667,1,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,0.25,6
80571.43174,29,354.7884947,12,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.99,16
30410.16398,7,10.99203444,2,26,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,374.4,0.2,1,0.25,4
69987.86978,49,542.7907986,11,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,1,1.08,26
27235.48519,20,88.82239438,5,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,1,0.25,15
47774.47444,18,81.59347625,5,26,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,436.8,0.4,1,0.25,15
98580.99493,11,72.84197847,7,18,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,194.4,-0.1,1,1.54,6
95331.43224,54,733.3621457,13,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.84,16
36565.19569,13,26.04355243,2,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,1,0.25,6
41048.75817,29,2289.026914,78,26,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,187.2,-0.4,0.82,2.48,31
464.3319328,47,63.27032499,1,26,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,187.2,-0.4,1,0.25,5
35267.43038,9,78.84298359,8,18,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,345.6,0.6,0.88,2.33,5
27512.51028,8,34.90568662,4,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.4,1,1.07,5
56381.89685,19,498.2791251,27,26,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,374.4,0.2,0.81,1.6,16
31914.83882,5,16.17467735,3,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1.36,5
12363.61215,12,270,23,10,4,4,4,4,4,4,4,4,4,4,4,4,48,-0.6,1,1.1,5
43037.22453,9,36.74979568,4,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.4,0.8,1.06,5
38771.24903,591,2975.377835,5,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,1,0.82,16
1762.612105,7,42.27383776,6,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,0.86,16
21546.18424,7,41.76570753,6,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.89,0.86,16
18049.7595,7,4200,618,10,4,4,4,4,4,4,4,4,4,4,4,4,48,-0.6,1,0.86,16
45282.24361,9,1087.914803,116,42,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,453.6,-0.1,1,1.99,29
4089.249082,24,56.95373786,2,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,1,0.25,21
31911.81543,16,44.0698381,3,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.15,6
620.6222247,10,26.03914177,3,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,0.78,0.25,16
34071.13627,35,60.75877867,2,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,1,0.25,16
55007.58459,32,845.2269812,26,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,1.2,26
98805.82762,117,1151.089837,10,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,1,1.15,27
52859.72379,9,6.371831367,1,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,0.25,5
87198.89708,72,998.1881156,14,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,0.75,0.82,28
29651.51183,54,265.542295,5,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,1,0.43,16
88147.35741,20,67.371348,3,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,0.25,16
98139.37454,52,168.8442942,3,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,1,0.25,12
33392.71067,12,98.19262933,8,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,1,1.2,16
78998.63826,11,252.5413005,22,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,1.14,26
58947.41564,90,1398.114195,16,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.22,28
57739.66091,213,7344.882721,35,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,1,1.15,30
93675.6505,13,113.3293319,8,34,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,652.8,0.6,1,1.22,5
32008.61935,8,42.99501571,5,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,1,1.15,11
36559.455,9,206.238878,22,18,45,45,45,45,45,45,45,45,45,45,45,45,540,1.5,1,1.03,28
84789.38357,22,1014.84793,45,26,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,93.6,-0.7,1,1.33,28
42665.16393,149,1634.051175,11,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.2,1,1.29,15
48705.02696,6,6.612623117,1,34,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,244.8,-0.4,0.9,0.25,2
40938.78716,139,4698.912942,34,26,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,374.4,0.2,0.82,1.24,27
14533.14101,14,391.8664999,29,34,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,367.2,-0.1,0.85,0.25,60
9752.603397,2149,176954.9545,82,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,1,1.62,51
19029.92505,22,108.5335726,5,26,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,187.2,-0.4,0.92,0.25,16
12395.24249,48,436.5999117,9,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,1,1.47,16
12171.83778,5,6180,1188,42,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,201.6,-0.6,1,0.25,16
94721.9698,79,5597.920865,71,42,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,201.6,-0.6,1,1.36,32
14522.11341,7,97.66880527,13,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.2,1,0.25,26
74649.14349,104,21676.10065,208,66,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,1425.6,0.8,1,2.48,33
45418.91071,10,1602.644454,157,98,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,2587.2,1.2,1,2.33,21
88000.72498,11,16.98125163,2,18,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,345.6,0.6,0.82,1,2
26362.66432,33,268.6094329,8,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.4,1,1.05,11
47789.22905,9,73.97488974,8,26,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,187.2,-0.4,0.8,1.22,6
30107.5998,8,243.6825517,29,26,65,65,65,65,65,65,65,65,65,65,65,65,780,1.5,1,1,26
86637.3065,81,735.5963925,9,26,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,187.2,-0.4,1,0.5,15
74104.54331,74,3612.302939,49,34,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,163.2,-0.6,1,1.43,26
77196.3111,15,563.7562323,36,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,1,1.4,36
58978.24688,6,20.23383369,4,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1.35,6
12212.94799,67,3000.692412,45,34,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,163.2,-0.6,1,1.21,28
93229.43546,126,3097.85976,25,26,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,499.2,0.6,1,0.87,28
65577.39399,157,3237.348586,21,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,0.75,1.9,28
34243.07841,138,1739.127516,13,26,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,249.6,-0.2,1,0.85,18
46291.06205,8,146.1714239,18,26,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,93.6,-0.7,1,1.02,16
83455.34766,98,103.9706914,1,42,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,806.4,0.6,0.8,0.25,2
27891.95579,7,3700,497,18,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,86.4,-0.6,0.88,1.04,6
59233.22299,7,144.9810713,20,42,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,907.2,0.8,1,0.25,31
28089.68138,131,6515.17508,50,26,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,436.8,0.4,1,1.03,48
26011.98886,19,60.10180922,3,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,1,1.6,5
62746.01188,14,53.6901335,4,26,65,65,65,65,65,65,65,65,65,65,65,65,780,1.5,1,1.24,3
36000.41446,64,1564.828375,24,34,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,571.2,0.4,1,1.41,16
18282.02917,10,39.25592726,4,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,1,0.25,16
43920.82602,25,199.1556666,8,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,1,1,11
80866.55668,8,49.18992269,6,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,1,0.25,16
9615.943625,33,147.4209602,4,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,1,0.25,16
75533.75393,94,1012.429346,11,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,1,1.47,16
12826.95597,3576,109974.8989,31,26,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,124.8,-0.6,0.75,0.82,36
58772.0459,6,48.01683648,8,26,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,436.8,0.4,1,1.44,5
54644.76441,12,264.6491946,22,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,0.8,0.91,22
39482.28093,20,408.6209872,20,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.7,30
67961.41145,142,4417.453853,31,34,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,122.4,-0.7,0.82,0.86,27
5065.188283,10,473.6786023,47,34,85,85,85,85,85,85,85,85,85,85,85,85,1020,1.5,0.9,1.62,21
80733.80677,5,71.66914527,14,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,1,1.22,25
61146.71844,8,36.20536187,5,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1.39,8
90478.79893,25,858.5468831,34,34,51,51,51,51,51,51,51,51,51,51,51,51,612,0.5,1,1.33,16
95932.29197,7,31.03413064,5,50,125,125,125,125,125,125,125,125,125,125,125,125,1500,1.5,1,0.25,6
88791.26165,18,400.0660491,22,18,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,194.4,-0.1,0.88,1.9,16
97384.75969,9,106.0036604,12,50,70,70,70,70,70,70,70,70,70,70,70,70,840,0.4,0.82,0.25,15
44081.15571,21,179.7712125,9,50,110,110,110,110,110,110,110,110,110,110,110,110,1320,1.2,1,0.25,15
48256.78768,6,138.1496238,22,26,65,65,65,65,65,65,65,65,65,65,65,65,780,1.5,1,1.8,11
36569.78261,7,6.246190985,1,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,0.25,6
84269.57277,9,56.80305803,6,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,0.75,1.38,6
5146.411327,8,160.423465,19,18,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,64.8,-0.7,1,1.6,16
31118.55338,5,32.07482678,6,58,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,417.6,-0.4,1,0.25,6
37528.55824,15,524.6251492,35,26,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,374.4,0.2,1,1.19,28
